Country/Territory,Subregion,Region,IMF[3],IMF[3],United Nations[4],United Nations[4],World Bank[5],World Bank[5]
Country/Territory,Subregion,Region,Estimate,Year,Estimate,Year,Estimate,Year
Monaco *,Western Europe,Europe,N/A,N/A,"190,532",2019,"190,513",2019
Liechtenstein *,Western Europe,Europe,N/A,N/A,"179,258",2019,"180,367",2018
Luxembourg *,Western Europe,Europe,"131,782",2021,"115,481",2019,"115,874",2020
Bermuda *,Northern America,Americas,N/A,N/A,"117,768",2019,"117,098",2019
Switzerland *,Western Europe,Europe,"94,696",2021,"85,135",2019,"86,602",2020
Ireland *,Northern Europe,Europe,"94,556",2021,"81,637",2019,"83,813",2020
Cayman Islands *,Caribbean,Americas,N/A,N/A,"92,692",2019,"91,393",2019
Norway *,Northern Europe,Europe,"81,995",2021,"74,986",2019,"67,295",2020
United States *,Northern America,Americas,"68,309",2021,"65,134",2019,"63,544",2020
Denmark *,Northern Europe,Europe,"67,218",2021,"60,657",2019,"60,909",2020
Iceland *,Northern Europe,Europe,"65,273",2021,"71,345",2019,"59,261",2020
Singapore *,South-eastern Asia,Asia,"64,103",2021,"64,103",2019,"59,798",2020
Australia *,Australia and New Zealand,Oceania,"62,723",2021,"54,763",2019,"51,812",2020
Qatar *,Western Asia,Asia,"59,143",2021,"64,782",2019,"50,806",2020
Sweden *,Northern Europe,Europe,"58,977",2021,"52,896",2019,"51,926",2020
Macau *,Eastern Asia,Asia,"58,004",2021,"84,097",2019,"86,118",2019
Netherlands *,Western Europe,Europe,"58,003",2021,"53,053",2019,"52,304",2020
Finland *,Northern Europe,Europe,"54,330",2021,"48,678",2019,"49,041",2020
Austria *,Western Europe,Europe,"53,859",2021,"49,701",2019,"48,105",2020
Greenland *,Northern America,Americas,N/A,N/A,"53,353",2019,"54,471",2018
Germany *,Western Europe,Europe,"51,860",2021,"46,232",2019,"45,724",2020
Belgium *,Western Europe,Europe,"50,103",2021,"46,198",2019,"44,594",2020
San Marino *,Southern Europe,Europe,"49,765",2021,"47,313",2019,"47,731",2019
Canada *,Northern America,Americas,"49,222",2021,"46,550",2019,"43,242",2020
Hong Kong *,Eastern Asia,Asia,"49,036",2021,"49,180",2019,"46,324",2020
British Virgin Islands *,Caribbean,Americas,N/A,N/A,"48,511",2019,N/A,N/A
Israel *,Western Asia,Asia,"47,602",2021,"46,376",2019,"43,611",2020
New Zealand *,Australia and New Zealand,Oceania,"47,499",2021,"43,264",2019,"41,792",2020
United Kingdom *,Northern Europe,Europe,"46,344",2021,"41,855",2019,"40,285",2020
France *,Western Europe,Europe,"44,995",2021,"40,319",2019,"38,625",2020
Japan *,Eastern Asia,Asia,"42,928",2021,"40,063",2019,"40,113",2019
Andorra *,Southern Europe,Europe,N/A,N/A,"40,887",2019,"40,897",2019
Guam *,Micronesia,Oceania,N/A,N/A,N/A,N/A,"37,724",2019
United Arab Emirates *,Western Asia,Asia,"35,171",2021,"43,103",2019,"43,103",2019
Italy *,Southern Europe,Europe,"34,997",2021,"33,090",2019,"31,676",2020
New Caledonia *,Melanesia,Oceania,N/A,N/A,"34,942",2019,"12,580",2000
South Korea *,Eastern Asia,Asia,"34,866",2021,"32,143",2019,"31,489",2020
Brunei *,South-eastern Asia,Asia,"33,097",2021,"31,086",2019,"27,466",2020
Puerto Rico *,Caribbean,Americas,"32,233",2021,"35,791",2019,"32,291",2020
Taiwan *,Eastern Asia,Asia,"32,123",2021,"28,371",[6][7] 2020,N/A,N/A
Malta *,Southern Europe,Europe,"31,576",2021,"33,752",2019,"27,885",2020
Turks and Caicos Islands *,Caribbean,Americas,N/A,N/A,"31,353",2019,"23,880",2020
Spain *,Southern Europe,Europe,"30,996",2021,"29,816",2019,"27,057",2020
Bahamas *,Caribbean,Americas,"30,070",2021,"34,864",2019,"28,608",2020
Cyprus *,Western Asia,Asia,"29,551",2021,"28,285",2019,"26,624",2020
Sint Maarten *,Caribbean,Americas,N/A,N/A,N/A,N/A,"29,160",2018
Slovenia *,Southern Europe,Europe,"28,104",2021,"26,062",2019,"25,180",2020
Estonia *,Northern Europe,Europe,"27,101",2021,"23,740",2019,"23,312",2020
Czech Republic *,Eastern Europe,Europe,"25,732",2021,"23,452",2019,"22,762",2020
Anguilla *,Caribbean,Americas,N/A,N/A,"25,529",2019,N/A,N/A
Kuwait *,Western Asia,Asia,"25,290",2021,"31,999",2019,"32,373",2019
Portugal *,Southern Europe,Europe,"25,065",2021,"23,350",2019,"22,440",2020
Bahrain *,Western Asia,Asia,"24,294",2021,"23,504",2019,"23,443",2019
Aruba *,Caribbean,Americas,"22,852",2021,"30,975",2019,"30,253",2018
Saudi Arabia *,Western Asia,Asia,"22,700",2021,"23,140",2019,"20,110",2020
Lithuania *,Northern Europe,Europe,"22,245",2021,"19,795",2019,"19,998",2020
Cook Islands *,Polynesia,Oceania,N/A,N/A,"21,603",2019,N/A,N/A
French Polynesia *,Polynesia,Oceania,N/A,N/A,"21,567",2019,"14,324",2000
Slovakia *,Eastern Europe,Europe,"21,529",2021,"19,256",2019,"19,157",2020
Northern Mariana Islands *,Micronesia,Oceania,N/A,N/A,N/A,N/A,"20,660",2019
Latvia *,Northern Europe,Europe,"19,824",2021,"17,885",2019,"17,620",2020
Greece *,Southern Europe,Europe,"19,673",2021,"19,604",2019,"17,677",2020
Curaçao *,Caribbean,Americas,N/A,N/A,"18,980",2019,"19,701",2019
Hungary *,Eastern Europe,Europe,"18,075",2021,"16,879",2019,"15,899",2020
Poland *,Eastern Europe,Europe,"16,930",2021,"15,727",2019,"15,656",2020
Croatia *,Southern Europe,Europe,"16,247",2021,"14,627",2019,"13,828",2020
Oman *,Western Asia,Asia,"16,212",2021,"15,343",2019,"15,343",2019
Barbados *,Caribbean,Americas,"16,036",2021,"18,149",2019,"15,191",2020
Trinidad and Tobago *,Caribbean,Americas,"15,752",2021,"16,637",2019,"15,384",2020
Uruguay *,South America,Americas,"15,653",2021,"16,190",2019,"15,438",2020
Chile *,South America,Americas,"15,617",2021,"14,896",2019,"13,232",2020
Romania *,Eastern Europe,Europe,"14,968",2021,"12,914",2019,"12,896",2020
Saint Kitts and Nevis *,Caribbean,Americas,"14,402",2021,"19,896",2019,"17,436",2020
Antigua and Barbuda *,Caribbean,Americas,"13,824",2021,"17,113",2019,"14,450",2020
Panama *,Central America,Americas,"13,690",2021,"15,728",2019,"12,269",2020
Montserrat *,Caribbean,Americas,N/A,N/A,"13,487",2019,N/A,N/A
Palau *,Micronesia,Oceania,"12,850",2021,"15,572",2019,"14,908",2019
Iran *,Southern Asia,Asia,"12,730",2021,"7,282",2019,"2,283",2020
China *,Eastern Asia,Asia,"11,819",2021,"10,004",2019,"10,500",2020
Costa Rica *,Central America,Americas,"11,806",2021,"12,238",2019,"12,077",2020
Maldives *,Southern Asia,Asia,"11,801",2021,"10,626",2019,"7,456",2020
Russia *,Eastern Europe,Europe,"11,654",2021,"11,606",2019,"10,127",2020
Malaysia *,South-eastern Asia,Asia,"11,604",2021,"11,414",2019,"10,402",2020
American Samoa *,Polynesia,Oceania,N/A,N/A,N/A,N/A,"11,535",2019
World *,World,World,N/A,N/A,"11,339",2019,"10,926",2020
Bulgaria *,Eastern Europe,Europe,"11,321",2021,"9,703",2019,"9,976",2020
Nauru *,Micronesia,Oceania,"10,125",2021,"12,351",2019,"10,983",2019
Kazakhstan *,Central Asia,Asia,"9,828",2021,"9,793",2019,"9,056",2020
Saint Lucia *,Caribbean,Americas,"9,816",2021,"11,611",2019,"9,276",2020
Seychelles *,Eastern Africa,Africa,"9,666",2021,"17,382",2019,"11,425",2020
Mauritius *,Eastern Africa,Africa,"9,639",2021,"11,169",2019,"8,623",2020
Turkey *,Western Asia,Asia,"9,327",2021,"9,127",2019,"8,538",2020
Cuba *,Caribbean,Americas,N/A,N/A,"9,296",2019,"9,100",2019
Mexico *,Central America,Americas,"9,246",2021,"9,849",2019,"8,347",2020
Guyana *,South America,Americas,"9,192",2021,"6,610",2019,"6,956",2020
Grenada *,Caribbean,Americas,"9,171",2021,"10,818",2019,"9,680",2020
Argentina *,South America,Americas,"9,122",2021,"10,041",2019,"8,442",2020
Montenegro *,Southern Europe,Europe,"9,064",2021,"8,825",2019,"7,686",2020
Turkmenistan *,Central Asia,Asia,"9,032",2021,"8,124",2019,"7,612",2019
Serbia *,Southern Europe,Europe,"8,748",2021,"7,359",2019,"7,666",2020
Gabon *,Middle Africa,Africa,"8,601",2021,"7,773",2019,"7,006",2020
Equatorial Guinea *,Middle Africa,Africa,"8,074",2021,"8,130",2019,"7,143",2020
Dominican Republic *,Caribbean,Americas,"7,951",2021,"8,282",2019,"7,268",2020
Botswana *,Southern Africa,Africa,"7,817",2021,"7,961",2019,"6,711",2020
Thailand *,South-eastern Asia,Asia,"7,702",2021,"7,785",2019,"7,189",2020
Saint Vincent and the Grenadines *,Caribbean,Americas,"7,212",2021,"7,464",2019,"7,298",2020
Brazil *,South America,Americas,"7,011",2021,"8,755",2019,"6,797",2020
Dominica *,Caribbean,Americas,"6,989",2021,"8,111",2019,"7,268",2020
Bosnia and Herzegovina *,Southern Europe,Europe,"6,728",2021,"6,109",2019,"6,032",2020
Peru *,South America,Americas,"6,678",2021,"6,978",2019,"6,127",2020
North Macedonia *,Southern Europe,Europe,"6,657",2021,"6,093",2019,"5,888",2020
Belarus *,Eastern Europe,Europe,"6,487",2021,"6,674",2019,"6,411",2020
Albania *,Southern Europe,Europe,"5,991",2021,"5,303",2019,"5,215",2020
Colombia *,South America,Americas,"5,753",2021,"6,432",2019,"5,333",2020
Ecuador *,South America,Americas,"5,665",2021,"6,184",2019,"5,600",2020
South Africa *,Southern Africa,Africa,"5,444",2021,"6,001",2019,"5,091",2020
Jamaica *,Caribbean,Americas,"5,328",2021,"5,369",2019,"4,665",2020
Paraguay *,South America,Americas,"5,146",2021,"5,406",2019,"4,950",2020
Tuvalu *,Polynesia,Oceania,"5,116",2021,"4,036",2019,"4,143",2020
