Country or Entity,Christians,% Christian,% Catholic,% Protestant/ Orthodox/ Other Christian
Afghanistan (details),"6,250/8,000[23]-30,000[24]",0.02%[24],,
Albania (details),"580,000",17.0%[25],10%,7%
Algeria (details),"20,000-200,000[26] or 71,000 (estimate for 2010)[27]",0.01%,0.01%,1%
American Samoa (details),"70,000",98.3%,20%
Andorra (details),"78,000",89.5%,88.2%[28],1.3%
Angola (details),"17,094,000",75%[29],50%,25%
Anguilla (details),"15,000",90.5%,3%,87%
Antigua and Barbuda (details),"66,000",74.0%,10%,64%
Argentina (details),"34,940,108",77%[30],66%[30],11%[30]
Armenia (details),"2,826,000[31]",97.9%[31],1%[31],96.9%[31]
Aruba (details),"98,000",88%,80.8%,7.8%
Australia (details),"12,201,600",52.1%[32],22.6%,29.6%
Austria (details),"5,185,959",58%-62%,54.9%[33],3%-7%[34][35]
Azerbaijan (details),"280,000[36]",3.1%,,3.1%
Bahamas (details),"335,975",95%[37],12.0%,83.0%
Bahrain (details),"185,000",15.0%[38],,9.0%
Bangladesh (details),"420,000",0.4%[39],0.4%,
Barbados (details),"244,000",74%[40],4.2%,70%
Belarus (details),"5,265,000",55.4%[41],7.1%,48.3%
Belgium (details),"6,860,000",65%[42],58%[42],7%[42]
Belize (details),"247,000",76.7%,40%,36.7%
Benin (details),"3,943,000",42.8%,27%,15%
Bermuda (details),"44,000",64.7%,15%,50%
Bhutan (details),"7,000",1.0%,0.1%,0.9%
Bolivia (details),"9,730,000",89.0%,76%,13%
Bosnia and Herzegovina (details),"1,622,093[43]",45.94%[43],15.19%[43],30.75%[43]
Botswana (details),"1,416,000",71.6%,5%,66%
Brazil (details),"180,770,000[44]",90.0%[44],64.6%[44],22.2%[44]
British Virgin Islands (details),"23,000",94.0%,9%,85%
Brunei (details),"29,000",7.1%[45],,
Bulgaria (details),"6,364,000",85.0%[42],1%,84%[42]
Burkina Faso (details),"3,746,000",22.0%,18%,4%
Burundi (details),"7,662,000",75.0%,60%,15%
Cambodia (details),"148,000",1.0%,0.15%,0.85%
Cameroon (details),"13,390,000",70.7%[46],38.4%,26.3%
Canada (details),"22,103,000[47]",67.3%[47]census55% ('18 poll)[48],39%[47],26%[47]
Cape Verde (details),"487,000",89.1%[24],78.7%,10.4%
Cayman Islands (details),"42,000",73.8%,,
Central African Republic (details),"2,302,000",80%,29%,51%
Chad (details),"4,150,000[24]",35.0%,20%,15%
Chile (details),"9,900,000",68%[49],55%,13%
People's Republic of China (details),"31,220,000[50]-34,610,000/49,170,000[51]",2.5%-3.5%[51],0.46%-0.69%[51],2%-2.89%[51]
Colombia (details),"43,560,000",92%[52],79%,13%
Comoros (details),"15,000",2.1%,,
Cook Islands (details),"19,000",86%,16.8%,69.6%
"Congo, Republic of (details)","3,409,000",90.7%,50%,40%
"Congo, Democratic Republic of (details)","63,150,000",92%,50%,42%
Costa Rica (details),"4,000,000",82%,57%,25%
Côte d'Ivoire (details),"7,075,000",32.8%,28.9%,3.9%
Croatia (details),"4,107,000",90.1%[53],86.2%,4.7%
Cuba (details),"6,670,000[24]",65%[54],52.7%,7.5%
Cyprus (details),"863,000",79%[55][56],1%,78%
Czech Republic (details),"1,175,000",34%[42],29.0%[42],5.0%[42]
Denmark (details),"4,400,754[57]",79%,1%,77.8%[58]
Djibouti (details),"53,000",6.0%,1%,5%
Dominica (details),"59,000",88.7%,61%,27%
Dominican Republic (details),"9,734,000",83%,65%,18%
East Timor (details),"1,152,000",99.1%[59],96.9%,2.2%
Ecuador (details),"14,099,000",94.0%,74%,20%
Egypt (details),"9,029,000",10.0%[60],,
El Salvador (details),"5,073,000",81.9%,52.6%,29.3%
Equatorial Guinea (details),"683,000",88.7%[24],80.7%,8.0%
Eritrea (details),"3,577,000",67%[61],4%,54%
Estonia (details),"310,000",45%[42],3%[42],42%[42]
Eswatini (details),"994,000",82.7%,25%,57.7%
Ethiopia (details),"77,477,000",75%,0.7%,63.4%
Falkland Islands (details),"3,000",94.3%,,94%
Faroe Islands (details),"33,000",95.4%[62],,94%
Fiji (details),"540,000",64.4%,8.9%,55.5%
Finland (details),"3,862,000[63]",69.8%[63],0.3%,69.5%
France (details),"36,700,000-40,000,000",51.1%[64]-58%[42]/63-66%[65],50-63%[66]/54%[42],4%[42]
Gabon (details),"1,081,000",88.0%[67],41.9%,46.1%
Gambia (details),"79,000",4.2%[68],,
Georgia (details),"3,930,000",88.6%[69],0.9%,87.7%
Germany (details),"45,000,000",55%[70],27.2%[70],27.8%[70]
Ghana (details),"19,300,000",71.2%[71],13.1%,58.1%
Greece (details),"10,000,000",93%[72],<1%[72],97.3%
Greenland (details),"55,000",96.6%,,96.6%
Grenada (details),"101,000",97.3%,53%,45%
Guatemala (details),"14,018,000",87%,47%,40%
Guinea (details),"1,032,000",8.9%[73],5%,5%
Guinea-Bissau (details),"165,000",10.0%,10.0%,
Guyana (details),"434,000",64%[74],8%,50%
Haiti (details),"9,597,000",96.0%,80.0%,16.0%
Honduras (details),"6,660,000",88%[75],47%,41%
Hong Kong (details),"835,000",11.8%[76],5.0%,6.8%
Hungary (details),"5,254,179[77]- 6,501,000[42]",52.87%[77]-65.0%[42],38.96%[77]-58.0%[42],13.91%[77]
Iceland (details),"273,300[78]",75.1%[78],4.0%[78],71.0%[78]
India (details),"30,000,000",2.3%[31],1.3%,1.0%
Indonesia (details),"28,600,000",10.72%[79],3.12%,7.6%
Iran (details),"380,000[80]",0.4%,,0.4%
Iraq (details),"944,000",3.0%,,3.0%
Ireland (details),"3,992,000 (2016)[81]",83.8% (2016)[81],78.2% (2016)[81],5.6% (2016)[81]
Israel (details),"266,000",3.5%,,3.5%
Italy (details),"53,230,000[82]",83%,81.2%,2%
Jamaica (details),"1,784,000",65.3%,2%,63.3%
Japan (details),"2,921,000",2.3%[83],1%,1%
Jordan (details),"388,000",6.0%[84],,
Kazakhstan (details),"4,150,000[24]",26.2%[24],2.3%,23.9%
Kenya (details),"34,774,000",85.1%,23.4%,61.7%
"Korea, North (details)","406,000",1.7%,,
"Korea, South (details)","14,601,000[24][85]",27.6%[24],7.9%,19.7%
Kuwait (details),"458,000",15.0%,3.2%,12.8%
Kyrgyzstan (details),"610,000[24]-944,000",11.4%[24]-17.0%[86],,
Laos (details),"145,000",2.2%,1%,1%
Latvia (details),"1,570,000",70%[42]-80%[87],24.1%[42]-25.1%[87][88],46.8%[42]-54.9%[87]
Lebanon (details),"1,600,000-1,800,000[89][90]",38.0%-41.0%,26%,15%
Lesotho (details),"1,876,000",90.0%,45%,45%
Liberia (details),"1,391,000",85.5%[91],,85.5%
Libya (details),"170,000[24]",2.7%[24],0.5%,1.5%
Liechtenstein (details),"30,000",84.4%[92],75.9%,8.5%
Lithuania (details),"2,827,000",81.4%[93]-86.0%[42],77.2%[94]-80.0%[42],5.6%-6.0%[42]
Luxembourg (details),"360,000",72.4%[95],68.7%,3.7%
Madagascar (details),"22,322,966",85.0%[96],,
Malawi (details),"12,538,000",77%-86.9%[97],,
Malaysia (details),"2,820,000",9.2%[98],,
Maldives (details),300,0.08%,,
Mali (details),"348,000",2.4%[99],,
Malta (details),"400,000",91.6%[100],88.6%,3.0%
Mauritania (details),"5,000",0.14%,,
Mauritius (details),"418,000",32.2%,,
Mexico (details),"111,959,525",88.9%[101],77.7%,11.2%
"Micronesia, Federated States of (details)","106,000",95.4%,,
Moldova (details),"3,480,000",95.3%[24],2.0%,93.3%
Monaco (details),"30,000",82.6%[102],77.0[102],
Mongolia (details),"42,859",1.3%[103],,
Montenegro (details),"500,000",78.8%[104],3.4%,72.4%
Morocco (details),"336,000",1%[105],,
Mozambique (details),"13,121,000",56.1%,28.4%,27.7%
Myanmar (details),"3,790,000",6.2%,1%,5.2%
Namibia (details),"1,991,000",90.0%,13.7%,76.3%
Nepal (details),"269,000",0.9%,0.1%,0.8%
Netherlands (details),"5,750,000-7,900,000[citation needed]",37% (2018)[106] - 43.8%[107],"22% (registered, 2018)[106] - 23.7%",15% (2018)[106]- 20.1%[107]
New Zealand (details),"1,738,638 (2018)[108]",37.0% (2018)[108],10.0% (2018)[108],27.0% (2018)[108]
Nicaragua (details),"5,217,000",84.6%,58.8%,25.8%
Niger (details),"85,000",0.5%,,5%
Nigeria (details),"74,400,000-107,000,000",40%[109]- 58%[110],"10–14,5%","30–43,5%"
North Macedonia (details),"1,468,532",70.7%[111],0.3%,64.7%
Norway (details),"3,844,000[112]",76.7% (2018)[113][114],2.4%[115],73.8% (2018)[113][114]
Oman (details),"180,000[24]",6.5%[24],,
Pakistan (details),"3,300,000",1.6%[116],0.8%,0.8%
Palau (details),"16,000",77.9%,65%,12.9%
Panama (details),"3,057,000",92.0%,80%,12%
Papua New Guinea (details),"6,800,000",97%,27%,70%
Paraguay (details),"6,260,000",96%[75],88%,8%
Peru (details),"27,635,000",87%[75],77%,10%
Philippines (details),"86,500,000",85%[117],80%,5%
Pitcairn Islands (details),50,100.0%,,100%
Poland (details),"36,090,000",94.3%,86.3%,8%
Portugal (details),"10,110,000[118]",84.3%[119],81.0%,3.3%
Puerto Rico (details),"3,878,000",89%[120][121],56%,33%
Qatar (details),"263,000",13.8%,,
Romania (details),"18,067,000",98.0%[42],11.0%[42],87.0%[42]
Russia (details),"66,000,000-99,775,000[122][123]",46.6%[124]-77.0%[125][126],<0.1%,46.6%-77.0%
Rwanda (details),"9,619,000",93.6%,56.9%,26%
San Marino (details),"31,000",91.6%[24],90.5%,1.1%
Saudi Arabia (details),"1,500,000",5%[127],,
Senegal (details),"570,000",4.2%[128],,
Serbia (details),"7,260,000",91.0%[129],5.0%,86.0%
