Country,Subregion,Region,UN R/P,UN R/P,WB Gini[4],WB Gini[4],CIA R/P[5],CIA R/P[5],CIA Gini[6],CIA Gini[6]
Country,Subregion,Region,10%[5],20%[7],%,Year,10%,Year,%,Year
,,,,,,,,,,
Afghanistan,Southern Asia,Asia,,,,,,,,
Albania,Southern Europe,Europe,7.2,4.2,33.2,2017,7.2,2004,26.9,2012 est.
Algeria,Northern Africa,Africa,9.6,4.0,27.6,2011,9.6,1995,35.3,1995
Angola,Middle Africa,Africa,,9.0,51.3,2018,,,,
Argentina,South America,Americas,31.6,8.8,41.4,2018,35.0,2007 Jan.–Mar.,41.7,2017
Armenia,Western Asia,Asia,8.0,5.0,34.4,2018,25.8,2004,34.4[8],2018[8]
Australia,"Australia, New Zealand",Oceania,12.5,6.3,34.4,2014,12.7,1994,30.3,2008
Austria,Western Europe,Europe,6.9,4.9,29.7,2017,6.8,2004,26.3,2007
Azerbaijan,Western Asia,Asia,9.7,,26.6,2005,9.5,2001,33.7,2008
Bahrain,Western Asia,Asia,,,,,,,,
Bangladesh,Southern Asia,Asia,7.5,4.8,32.4,2016,7.5,2000 est.,32.1,2010
Belarus,Eastern Europe,Europe,6.9,3.6,25.2,2018,6.9,2002,26.5,2011
Belgium,Western Europe,Europe,8.2,4.2,27.4,2017,8.3,2000,25.9,2013 est.
Belize,Central America,Americas,28.8,,53.3,1999,19.9,2013,49.8,2014
Benin,Western Africa,Africa,9.4,16.3,47.8,2015,9.4,2003,36.5,2003
Bhutan,Southern Asia,Asia,,6.6,37.4,2017,,,38.7,2012
Bolivia,South America,Americas,93.9,11.8,42.2,2018,157.3,2002,46.6,2012
Bosnia and Herzegovina,Southern Europe,Europe,5.4,5.4,33.0,2011,5.5,2001,36.2,2007
Botswana,Southern Africa,Africa,43.0,15.0,53.3,2015,,,60.9,2009
Brazil,South America,Americas,16.5,21.1,53.9,2018,16.3,2013,48.8,2018
Bulgaria,Eastern Europe,Europe,7.0,7.3,40.4,2017,8.8,2005,35.4,2012
Burkina Faso,Western Africa,Africa,11.6,5.3,35.3,2014,11.5,2003,39.5,2007
Burundi,Eastern Africa,Africa,19.3,6.7,38.6,2013,19.3,1998,42.4,1998
Cambodia,South-eastern Asia,Asia,12.2,,,,12.0,2004,37.9,2008 est.
Cameroon,Middle Africa,Africa,15.7,11.5,46.6,2014,15.4,2001,44.6,2001
Canada,Northern America,Americas,9.4,6.2,33.8,2013,9.5,2000,32.1,2005
Cape Verde,Western Africa,Africa,,10.7,47.2,2007,,,,
Central African Republic,Middle Africa,Africa,69.2,18.5,56.2,2008,68.1,1993,43.6,2003
Chad,Middle Africa,Africa,,10.0,43.3,2011,,,43.3,2011 est.
Chile,South America,Americas,26.2,11.2,44.4,2017,32.1,2003,52.1,2009
China,Eastern Asia,Asia,21.6,10.2,38.5,2016,21.8,2004,46.5,2016
Colombia,South America,Americas,60.4,13.4,50.4,2018,56.3,2008,53.5,2012
Comoros,Eastern Africa,Africa,,11.2,45.3,2014,,,55.9,2004 est.
DR Congo,Middle Africa,Africa,,8.8,42.1,2012,,,,
Congo,Middle Africa,Africa,,12.8,48.9,2011,,,,
Costa Rica,Central America,Americas,23.4,12.3,48.0,2018,37.3,2003,50.3,2009
Ivory Coast,Western Africa,Africa,16.6,8.4,41.5,2015,17.0,2002,41.5,2008
Croatia,Southern Europe,Europe,7.3,5.3,30.4,2017,7.2,2003 est.,32.0,2010
Cuba,Caribbean,Americas,,,,,,,,
Cyprus,Western Asia,Asia,,5.3,31.4,2017,,,32.4,2013 est.
Czech Republic,Eastern Europe,Europe,5.2,3.7,24.9,2017,5.2,1996,24.9,2012
Denmark,Northern Europe,Europe,8.1,4.0,28.7,2017,12.0,2000 est.,24.8,2011 est.
Djibouti,Eastern Africa,Africa,,8.8,44.6,2017,,,40.9,2002
Dominican Republic,Caribbean,Americas,25.3,10.5,43.7,2018,18.8,2012,45.7,2012 est.
Ecuador,South America,Americas,35.2,10.7,45.4,2018,17.5,2006 Oct.[5],48.5,2013 Dec.[5]
Egypt,Northern Africa,Africa,8.0,4.6,31.5,2017,8.0,2000,30.8,2008
El Salvador,Central America,Americas,38.6,7.0,38.6,2018,55.4,2002,46.9,2007
Equatorial Guinea,Middle Africa,Africa,,,,,,,,
Estonia,Northern Europe,Europe,10.8,5.4,30.4,2017,11.0,2003,32.9,2013
Eswatini,Southern Africa,Africa,25.1,14.2,54.6,2016,25.4,2001,50.4,2001
Ethiopia,Eastern Africa,Africa,6.6,7.1,35.0,2015,6.5,2000,33.0,2011
EU,Europe,,,,,,8.6,2015 est.,30.6,2012 est.
Fiji,Melanesia,Oceania,,6.0,36.7,2013,,,,
Finland,Northern Europe,Europe,5.6,3.9,27.4,2017,5.7,2000,26.8,2008
France,Western Europe,Europe,9.1,5.2,31.6,2017,8.3,2004,30.1,2013
Gabon,Middle Africa,Africa,,7.4,38.0,2017,,,,
Gambia,Western Africa,Africa,20.2,5.9,35.9,2015,20.6,1998,50.2,1998
Georgia,Western Asia,Asia,15.4,7.1,36.4,2018,15.2,2003,46.0,2011
Germany,Western Europe,Europe,6.9,5.1,31.9,2016,6.9,2000,27.0,2006
Ghana,Western Africa,Africa,14.1,10.3,43.5,2016,13.7,1999,42.3,2012–2013
Greece,Southern Europe,Europe,10.2,7.1,34.4,2017,10.4,2000 est.,34.4,2013 est.
Guatemala,Central America,Americas,33.9,11.9,48.3,2014,48.2,2002,55.1,2007
Guinea,Western Africa,Africa,10.5,5.5,33.7,2012,21.6,2006,39.4,2007
Guinea-Bissau,Western Africa,Africa,19.0,12.6,50.7,2010,84.8,1991,,
Guyana,South America,Americas,,,44.6,1998,26.0,1999,44.6,2007
Haiti,Caribbean,Americas,54.4,8.6,41.1,2012,68.1,2001,60.8,2012
Honduras,Central America,Americas,59.4,17.1,52.1,2018,35.2,2003,57.7,2007
Hong Kong,Eastern Asia,Asia,17.8,,,,,,53.9,2016
Hungary,Eastern Europe,Europe,5.5,4.9,30.6,2017,5.6,2002,24.7,2009
Iceland,Northern Europe,Europe,,4.0,26.8,2015,,,28.0,2006
India,Southern Asia,Asia,8.6,5.5,37.8,2011,8.6,2004,35.1,2011
Indonesia,South-eastern Asia,Asia,7.8,6.6,39.0,2018,7.9,2002,38.8,2018
Iran,Southern Asia,Asia,17.2,7.7,40.8,2017,16.9,1998,44.5,2006
Iraq,Western Asia,Asia,,4.4,29.5,2012,,,,
Ireland,Northern Europe,Europe,9.4,5.0,32.8,2016,9.4,2000,33.9,2010
Israel,Western Asia,Asia,13.4,8.5,39.0,2016,11.8,2005,37.6,2012
Italy,Southern Europe,Europe,11.6,7.0,35.9,2017,11.7,2000,31.9,2012 est.
Jamaica,Caribbean,Americas,17.3,,45.5,2004,17.0,2004,45.5,2004
Japan,Eastern Asia,Asia,4.5,5.4,32.9,2013,4.5,1993,37.9,2011
Jordan,Western Asia,Asia,11.3,5.2,33.7,2010,11.3,2003,39.7,2007
Kazakhstan,Central Asia,Asia,8.5,3.8,27.5,2017,8.0,2004 est.,28.9,2011
Kenya,Eastern Africa,Africa,13.6,7.7,40.8,2015,18.6,2000,42.5,2008 est.
North Korea,Eastern Asia,Asia,,,,,,,,
South Korea,Eastern Asia,Asia,7.8,5.3,31.6,2012,5.9,2011,34.1,2015
Kosovo,Eastern Europe,Europe[a],,,29.0,2017,,,,
Kuwait,Western Asia,Asia,,,,,,,,
Kyrgyzstan,Central Asia,Asia,6.4,3.8,27.7,2018,6.4,2003,33.4,2007
Laos,South-eastern Asia,Asia,8.3,5.9,36.4,2012,8.4,2002,36.7,2008
Latvia,Northern Europe,Europe,11.6,5.8,35.6,2017,11.6,2003,35.2,2010
Lebanon,Western Asia,Asia,,5.1,31.8,2011,,,,
Lesotho,Southern Africa,Africa,39.8,20.8,44.9,2017,48.2,2002 est.,63.2,1995
Liberia,Western Africa,Africa,12.8,5.9,35.3,2016,,,,
Libya,Northern Africa,Africa,,,,,,,,
Lithuania,Northern Europe,Europe,10.4,7.2,37.3,2017,10.3,2003,35.5,2009
Luxembourg,Western Europe,Europe,,5.7,34.9,2017,6.8,2000,30.4,2013 est.
Macau,Eastern Asia,Asia,,,,,,,35,2013
North Macedonia,Southern Europe,Europe,12.5,7.3,34.2,2017,12.3,2003,43.6,2013
Madagascar,Eastern Africa,Africa,19.2,8.7,42.6,2012,19.3,2001,47.5,2001
Malawi,Eastern Africa,Africa,10.9,8.1,44.7,2016,11.0,2004,39.0,2004
Malaysia,South-eastern Asia,Asia,22.1,8.2,41.0,2015,28.0,2003 est.,46.2,2009
Maldives,Southern Asia,Asia,,7.0,31.3,2016,,,37.4,2004 est.
Mali,Western Africa,Africa,12.5,5.2,33.0,2009,12.6,2001,40.1,2001
Malta,Southern Europe,Europe,,4.5,29.2,2017,,,27.9,2013
Mauritania,Western Africa,Africa,12.0,5.4,32.6,2014,11.8,2000,39.0,2000
Mauritius,Eastern Africa,Africa,,5.9,36.8,2017,,,35.9,2012 est.
Mexico,Central America,Americas,21.6,8.8,45.4,2018,24.6,2004,48.3,2008
Micronesia,Micronesia,Oceania,,8.4,40.1,2013,,,61.1,2013 est.
