Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Afghanistan,23.5,15.0,19.3,8.5,1.57,2008,[4]
Bahrain,30.0,26.3,28.2,3.7,1.14,2001,[4]
Bangladesh[a] (more info),26.5,25,25.8,1.5,1.06,2019,[3]
Bhutan,25.4,22.8,24.1,2.6,1.11,2007,[4]
Brunei,27.3,25.1,26.2,2.2,1.09,1991,[4]
Cambodia[a] (more info),23.4,21.0,22.2,2.4,1.11,2010,[3]
China (more info),27.1,24.9,26,2.2,1.09,2017,[14]
Hong Kong,31.2,28.9,30.1,2.3,1.08,2011,[15]
India (more info),23.0,22.2,22.6,0.8,1.04,2011,[16]
Indonesia,23,19,21,4,1.21,2010,[17]
Iran (more info),27.4,23.8,25.6,3.6,1.15,2015,[18]
Iraq,28.2,25.3,26.8,2.9,1.11,2004,[4]
Israel (more info),27.6,25,26.3,2.6,1.1,2016,[19]
Japan (more info),30.9,29.3,30.1,1.6,1.05,2013,[20]
Jordan,28.7,23.8,26.3,4.9,1.21,2010,[21]
Kazakhstan[a],26.9,24.3,25.6,2.6,1.11,2010,[3]
Kuwait,28.9,27.5,28.2,1.4,1.05,2005,[4]
Kyrgyzstan,25.5,21.8,23.7,3.7,1.17,2012,[4]
Laos,23.3,20.5,21.9,2.8,1.14,2012,[4]
Lebanon,32.8,28.8,30.8,4,1.14,2006,[22]
Malaysia,28,25.7,26.9,2.3,1.09,2010,[23]
Maldives[a],24.1,21.6,22.9,2.5,1.12,2009,[3]
Mongolia[a],29,26,27.5,3,1.12,2019,[24]
Myanmar[a] (more info),24.0,20.5,22.3,3.5,1.17,2007,[3]
Nepal[a],22.1,17.9,20,4.2,1.23,2011,[3]
North Korea (more info),29.0,25.5,27.3,3.5,1.14,2008,[4]
Oman,28.1,24.8,26.5,3.3,1.13,2003,[4]
Pakistan[a] (more info),26,18.3,22.2,7.7,1.42,2016-2017,[3]
Palestine[c],25.4,20.1,22.8,5.3,1.26,2010,[3]
Philippines (more info),28.0,25.3,26.7,2.7,1.11,2011,[25]
Qatar,27.3,25.4,26.4,1.9,1.07,2010,[4]
Saudi Arabia,25.3,20.4,22.9,4.9,1.24,2018,[26]
Singapore (more info),30.1,27.9,29,2.2,1.08,2014,[27]
Sri Lanka,27.6,23.8,25.7,3.8,1.16,2001,[4]
South Korea (more info),33.2,30.4,31.8,2.8,1.09,2018,[28]
Syria,31.8,26.3,29.1,5.5,1.21,2016,[29]
Taiwan,32.6,30.4,31.5,2.2,1.07,2019,[30]
Tajikistan,26.3,22.5,24.4,3.8,1.17,2010,[3]
Thailand[a],24.4,21.0,22.7,3.4,1.16,2010,[3]
East Timor[a],25.0,20.6,22.8,4.4,1.21,2009-2010,[3]
Turkmenistan,24.6,23.3,24,1.3,1.06,2006,[3]
United Arab Emirates,26.8,25.3,26.1,1.5,1.06,2005,[4]
Uzbekistan,25.2,22.4,23.8,2.8,1.13,2006,[31]
Vietnam,26.2,22.8,24.5,3.4,1.15,2009,[32]
Yemen,26.1,23.0,24.6,3.1,1.13,2013,[4]
