Country or Entity,Christians,Christian,Catholic,Protestant/ Orthodox/ Other Christian
Afghanistan,"6,250/8,000[23]-30,000[24]",0.02,,
Albania,"580,000",17,10,7
Algeria,"20,000-200,000[26] or 71,000 (estimate for 2010)[27]",0.01,0.01,1
American Samoa,"70,000",98.3,20,
Andorra,"78,000",89.5,88.2[28],1.3
Angola,"17,094,000",75,50,25
Anguilla,"15,000",90.5,3,87
Antigua and Barbuda,"66,000",74,10,64
Argentina,"34,940,108",77,66[30],11[30]
Armenia,"2,826,000[31]",97.9,1[31],96.9[31]
Aruba,"98,000",88,80.8,7.8
Australia,"12,201,600",52.1,22.6,29.6
Austria,"5,185,959",60,54.9[33],3-7[34][35]
Azerbaijan,"280,000[36]",3.1,,3.1
Bahamas,"335,975",95,12,83
Bahrain,"185,000",15,,9
Bangladesh,"420,000",0.4,0.4,
Barbados,"244,000",74,4.2,70
Belarus,"5,265,000",55.4,7.1,48.3
Belgium,"6,860,000",65,58[42],7[42]
Belize,"247,000",76.7,40,36.7
Benin,"3,943,000",42.8,27,15
Bermuda,"44,000",64.7,15,50
Bhutan,"7,000",1,0.1,0.9
Bolivia,"9,730,000",89,76,13
Bosnia and Herzegovina,"1,622,093[43]",45.94,15.19[43],30.75[43]
Botswana,"1,416,000",71.6,5,66
Brazil,"180,770,000[44]",90,64.6[44],22.2[44]
British Virgin Islands,"23,000",94,9,85
Brunei,"29,000",7.1,,
Bulgaria,"6,364,000",85,1,84[42]
Burkina Faso,"3,746,000",22,18,4
Burundi,"7,662,000",75,60,15
Cambodia,"148,000",1,0.15,0.85
Cameroon,"13,390,000",70.7,38.4,26.3
Canada,"22,103,000[47]",61.15,39[47],26[47]
Cape Verde,"487,000",89.1,78.7,10.4
Cayman Islands,"42,000",73.8,,
Central African Republic,"2,302,000",80,29,51
Chad,"4,150,000[24]",35,20,15
Chile,"9,900,000",68,55,13
People's Republic of China,"31,220,000[50]-34,610,000/49,170,000[51]",3,0.46-0.69[51],2-2.89[51]
Colombia,"43,560,000",92,79,13
Comoros,"15,000",2.1,,
Cook Islands,"19,000",86,16.8,69.6
Republic of Congo,"3,409,000",90.7,50,40
Democratic Republic of Congo,"63,150,000",92,50,42
Costa Rica,"4,000,000",82,57,25
Côte d'Ivoire,"7,075,000",32.8,28.9,3.9
Croatia,"4,107,000",90.1,86.2,4.7
Cuba,"6,670,000[24]",65,52.7,7.5
Cyprus,"863,000",79,1,78
Czech Republic,"1,175,000",34,29.0[42],5.0[42]
Denmark,"4,400,754[57]",79,1,77.8[58]
Djibouti,"53,000",6,1,5
Dominica,"59,000",88.7,61,27
Dominican Republic,"9,734,000",83,65,18
East Timor,"1,152,000",99.1,96.9,2.2
Ecuador,"14,099,000",94,74,20
Egypt,"9,029,000",10,,
El Salvador,"5,073,000",81.9,52.6,29.3
Equatorial Guinea,"683,000",88.7,80.7,8
Eritrea,"3,577,000",67,4,54
Estonia,"310,000",45,3[42],42[42]
Eswatini,"994,000",82.7,25,57.7
Ethiopia,"77,477,000",75,0.7,63.4
Falkland Islands,"3,000",94.3,,94
Faroe Islands,"33,000",95.4,,94
Fiji,"540,000",64.4,8.9,55.5
Finland,"3,862,000[63]",69.8,0.3,69.5
France,"36,700,000-40,000,000",60.5,50-63[66]/54[42],4[42]
Gabon,"1,081,000",88,41.9,46.1
Gambia,"79,000",4.2,,
Georgia,"3,930,000",88.6,0.9,87.7
Germany,"45,000,000",55,27.2[70],27.8[70]
Ghana,"19,300,000",71.2,13.1,58.1
Greece,"10,000,000",93,<1[72],97.3
Greenland,"55,000",96.6,,96.6
Grenada,"101,000",97.3,53,45
Guatemala,"14,018,000",87,47,40
Guinea,"1,032,000",8.9,5,5
Guinea-Bissau,"165,000",10,10,
Guyana,"434,000",64,8,50
Haiti,"9,597,000",96,80,16
Honduras,"6,660,000",88,47,41
Hong Kong,"835,000",11.8,5,6.8
Hungary,"5,254,179[77]- 6,501,000[42]",58.935,38.96[77]-58.0[42],13.91[77]
Iceland,"273,300[78]",75.1,4.0[78],71.0[78]
India,"30,000,000",2.3,1.3,1
Indonesia,"28,600,000",10.72,3.12,7.6
Iran,"380,000[80]",0.4,,0.4
Iraq,"944,000",3,,3
Ireland,"3,992,000 (2016)[81]",83.8,78.2 (2016)[81],5.6 (2016)[81]
Israel,"266,000",3.5,,3.5
Italy,"53,230,000[82]",83,81.2,2
Jamaica,"1,784,000",65.3,2,63.3
Japan,"2,921,000",2.3,1,1
Jordan,"388,000",6,,
Kazakhstan,"4,150,000[24]",26.2,2.3,23.9
Kenya,"34,774,000",85.1,23.4,61.7
North Korea,"406,000",1.7,,
South Korea,"14,601,000[24][85]",27.6,7.9,19.7
Kuwait,"458,000",15,3.2,12.8
Kyrgyzstan,"610,000[24]-944,000",14.2,,
Laos,"145,000",2.2,1,1
Latvia,"1,570,000",75,24.1[42]-25.1[87][88],46.8[42]-54.9[87]
Lebanon,"1,600,000-1,800,000[89][90]",39.5,26,15
Lesotho,"1,876,000",90,45,45
Liberia,"1,391,000",85.5,,85.5
Libya,"170,000[24]",2.7,0.5,1.5
Liechtenstein,"30,000",84.4,75.9,8.5
Lithuania,"2,827,000",83.7,77.2[94]-80.0[42],5.6-6.0[42]
Luxembourg,"360,000",72.4,68.7,3.7
Madagascar,"22,322,966",85,,
Malawi,"12,538,000",81.95,,
Malaysia,"2,820,000",9.2,,
Maldives,300,0.08,,
Mali,"348,000",2.4,,
Malta,"400,000",91.6,88.6,3
Mauritania,"5,000",0.14,,
Mauritius,"418,000",32.2,,
Mexico,"111,959,525",88.9,77.7,11.2
Federated States of Micronesia,"106,000",95.4,,
Moldova,"3,480,000",95.3,2,93.3
Monaco,"30,000",82.6,77.0[102],
Mongolia,"42,859",1.3,,
Montenegro,"500,000",78.8,3.4,72.4
Morocco,"336,000",1,,
Mozambique,"13,121,000",56.1,28.4,27.7
Myanmar,"3,790,000",6.2,1,5.2
Namibia,"1,991,000",90,13.7,76.3
Nepal,"269,000",0.9,0.1,0.8
Netherlands,"5,750,000-7,900,000[citation needed]",40.4,"22 (registered, 2018)[106] - 23.7",15 (2018)[106]- 20.1[107]
New Zealand,"1,738,638 (2018)[108]",37,10.0 (2018)[108],27.0 (2018)[108]
Nicaragua,"5,217,000",84.6,58.8,25.8
Niger,"85,000",0.5,,5
Nigeria,"74,400,000-107,000,000",49,"10–14,5","30–43,5"
North Macedonia,"1,468,532",70.7,0.3,64.7
Norway,"3,844,000[112]",76.7,2.4[115],73.8 (2018)[113][114]
Oman,"180,000[24]",6.5,,
Pakistan,"3,300,000",1.6,0.8,0.8
Palau,"16,000",77.9,65,12.9
Panama,"3,057,000",92,80,12
Papua New Guinea,"6,800,000",97,27,70
Paraguay,"6,260,000",96,88,8
Peru,"27,635,000",87,77,10
Philippines,"86,500,000",85,80,5
Pitcairn Islands,50,100,,100
Poland,"36,090,000",94.3,86.3,8
Portugal,"10,110,000[118]",84.3,81,3.3
Puerto Rico,"3,878,000",89,56,33
Qatar,"263,000",13.8,,
Romania,"18,067,000",98,11.0[42],87.0[42]
Russia,"66,000,000-99,775,000[122][123]",61.8,<0.1,46.6-77.0
Rwanda,"9,619,000",93.6,56.9,26
San Marino,"31,000",91.6,90.5,1.1
Saudi Arabia,"1,500,000",5,,
Senegal,"570,000",4.2,,
Serbia,"7,260,000",91,5,86
Seychelles,"80,000",94.7,82,15.2
Sierra Leone,"619,000-1,294,000",15.45,,
Singapore,"900,000",18,5.7,12
Slovakia,"4,730,000",80,67.0[42],13.0[42]
Slovenia,"1,610,000",68,64.0[42],4.0[42]
Somalia,"1,000[133]",0.01,0.0002,0.01
South Africa,"43,090,000",79.8,5,75
South Sudan,"6,010,000[135]",60.5,30,30
Spain,"28,000,000",59.2,58.2[137],1[137]
Sri Lanka,"1,531,000",7.5,6.1,1.4
Sudan,"525,000",1.5,,
Suriname,"262,000",50,21.6,26.8
Sweden,"6,577,478",64.3,1.2,63.1
Switzerland,"5,700,000",68,36.5[142]-37.9[143],30.4[142]-31.2[143]
Syria,"1,800,000[144]",10,2,8
Tajikistan,"110,000[24]",1.4,0.1,1.3
Tanzania,"31,342,000",61.4,,
