Country/Region,Total Population,Muslim Population,Muslim percentage of total population,Percentage of world   (%),Sources
Afghanistan,"37,135,000","37,025,000",99.7,2,[37]
Albania,"3,057,220","1,797,645",58.8,0.1,[38][39]
Algeria,"41,657,488","41,240,913",99.7,2.7,[40]
American Samoa,"50,826","1,000",0.1,0.1,[41]
Andorra,"85,708","2,228",2.6,0.1,[42][43]
Angola,"30,355,880","90,000",0.3,0.1,[44][45]
Anguilla,"17,422","1,000",0.6,0.1,[46]
Antigua and Barbuda,"95,882","1,000",0.3,0.1,[47]
Argentina,"44,694,198","400,000",0.9,1,[48][45]
Armenia,"3,038,217","3,038",0.1,0.1,[49]
Aruba,"116,576","1,000",0.4,0.1,[50][51]
Australia,"25,700,000","666,000",2.6,0.1,[52]
Austria,"9,000,000","720,000",8,0.1,[53][54]
Azerbaijan,"10,046,516","9,735,074",96.9,0.5,[55]
Bahamas,"332,634","1,000",0.1,0.1,[56]
Bahrain,"1,442,659","1,063,239",73.7,0.1,[57]
Bangladesh,"170,000,000","153,700,000",90.4,9.2,[58][59]
Barbados,"293,131","4,396",1.5,0.1,[60]
Belarus,"9,527,543","45,000–100,000",0.7,0.1,[61][62][63]
Belgium,"11,570,762","879,377",7.6,0.1,[64][65]
Belize,"385,854","1,000",0.2,0.1,[66][67]
Benin,"11,340,504","3,141,319",27.7,0.14,[68]
Bermuda,"71,176","1,000",1,0.1,[69]
Bhutan,"766,397","≤ 2,000",0.2,0.1,[70][71]
Bolivia,"11,306,341","2,000",0.1,0.1,[72][73]
Bosnia and Herzegovina,"3,849,891","1,955,084",50.7,0.1,[74]
Botswana,"2,249,104","8,996",0.4,0.1,[75][76]
Brazil,"210,000,000","35,167–1,500,000",0.36,0.1,[77][78]
British Virgin Islands,"35,802","1,000",1.2,0.1,[79]
Brunei,"450,565","355,045",80.9,0.1,[80]
Bulgaria,"7,057,504","861,015",13.4,0.1,[81][82]
Burkina Faso,"21,382,659","13,513,840",63.2,0.6,[83]
Burma,"55,622,506","2,391,767",4.3,0.1,[84]
Burundi,"11,844,520","1,184,452",10,0.1,[85][86]
Cambodia,"15,552,211","311,044",2,0.1,[87]
Cameroon,"25,640,965","7,692,289",30,0.4,[88][89]
Canada,"35,881,659","1,148,213",3.2,0.1,[90]
Cape Verde,"568,373","11,367",2,0.1,[91][92]
Cayman Islands,"59,613","1,000",0.2,0.1,[93]
Central African Republic,"5,745,062","861,759",15,0.1,[94]
Chad,"15,833,116","9,183,207",58,0.4,[95][92]
Chile,"17,925,262","4,000",0.1,0.1,[96][97]
China,"1,390,000,000","6,255,000–50,000,000",1.725,0.4 – 2.8,[98][99][100][101][102]
Cocos (Keeling) Islands,596,"1,000",80,0.1,[103][104]
Colombia,"48,168,996","96,337",0.2,0.1,[105][106]
Comoros,"821,164","807,204",98.3,0.1,[107]
DR Congo,"85,281,024","12,792,153",10,0.1,[108][109]
Cook Islands,"9,038","1,000",0.1,0.1,[110]
Costa Rica,"4,987,142","1,000",0.1,0.1,[111]
Ivory Coast,"26,260,582","11,265,789",42.9,0.5,[112]
Croatia,"4,270,480","64,057",1.5,0.1,[113]
Cuba,"11,116,396","11,116",0.1,0.1,[114]
Cyprus,"1,100,000","275,000",25.3,0.1,[115]
Czech Republic,"10,686,269","10,000–20,000",0.15,0.1,[116][65]
Denmark,"5,809,502","313,713",5.4,0.1,[117][65]
Djibouti,"884,017","857,496",97,0.1,[118][119]
Dominica,"74,027","1,000",0.2,0.1,[120]
Dominican Republic,"10,298,756","2,000",0.1,0.1,[121][122]
Ecuador,"16,498,502","1,000",0.1,0.1,[123][124]
Egypt,"95,000,000","85,000,000–90,000,000",92.35,4.9,[125][126]
El Salvador,"6,187,271","18,000",0.28,0.1,[127][128][129]
Equatorial Guinea,"797,457","79,745",10,0.1,[130][131]
Eritrea,"6,000,000","2,160,000–3,100,000",43.8,0.1,[132][133][134]
Estonia,"1,244,288","1,508",0.1,0.1,[135]
Eswatini,"300,000","129,230",10,0.1,[136]
Ethiopia,"110,871,031","34,702,632",31.3,1.8,[137]
Faroe Islands,"51,018","1,000",0.1,0.1,[138]
Falkland Islands,"3,198","1,000",0.1,0.1,[139]
Micronesia,"103,643","1,000",0.1,0.1,[140]
Fiji,"926,276","58,355",6.3,0.1,[141]
Finland,"5,537,364","102,000",1.8,0.1,[142][65]
France,"67,000,000","5,720,000",8.8,0.3,[65]
French Guiana,"281,612","2,400",0.9,0.1,
French Polynesia,"290,373","1,000",0.1,0.1,[143]
Gabon,"2,119,036","211,903",10,0.1,[144][145]
Gambia,"2,092,731","2,002,743",95.7,0.1,[146]
Georgia,"4,926,087","527,091",10.7,0.1,[147]
Germany,"83,100,000","5,300,000–5,600,000",6.55,0.2,[36][148][149]
Ghana,"28,102,471","5,058,444",17.6,0.2,[150][92][151]
Gibraltar,"29,461","1,150",4,0.1,[152][153]
Greece,"10,761,523","215,230–613,406",3.85,0.1,[154][65]
Greenland,"57,691","1,000",0.1,0.1,[155]
Grenada,"112,207","1,000",0.3,0.1,[156]
Guadeloupe,"402,119","2,000",0.4,0.1,
Guam,"167,772","1,000",0.1,0.1,[157]
Guatemala,"16,581,273","1,200",0.1,0.1,[158][159]
Guinea,"11,855,411","10,563,171",89.1,0.5,[160]
Guinea-Bissau,"1,833,247","826,794",45.1,0.1,[161]
Guyana,"740,685","55,000",7.3,0.1,[162]
Haiti,"10,788,440","5,000",0.1,0.1,[163][164]
Honduras,"9,182,766","30,000",0.3,0.1,[165]
Hong Kong,"7,213,338","295,746",4.1,0.1,[166][167]
Hungary,"9,825,704","40,000–60,000",0.5,0.1,[65][168][169]
Iceland,"343,518","1,000",0.2,0.1,[170][171]
India,"1,370,000,000","200,000,000",14.6,10.9,[172][173]
Indonesia,"266,500,000","231,000,000",86.7,12.7,[174]
Iran,"83,000,000","82,500,000",99.4,4.6,[175]
Iraq,"40,194,216","38,465,864",95.7,1.9,[176]
Ireland,"5,068,050","70,952",1.4,0.1,[177][65]
Isle of Man,"89,407","1,000",0.2,0.1,[178]
Israel,"8,424,904","1,516,482",18,0.1,[179][180]
Italy,"62,246,674","2,987,840",4.8,0.1,[181][65]
Jamaica,"2,812,090","5,624",0.2,0.1,[182][183]
Japan,"126,000,000","185,000",0.1,0.1,[184][185]
Jordan,"10,458,413","10,165,577",97.2,0.4,[186]
Kazakhstan,"18,744,548","13,158,672",70.2,0.5,[187]
Kenya,"48,397,527","5,500,000",11.2,0.2,[188]
Kiribati,"109,367","1,000",0.1,0.1,[189]
Kosovo,"1,907,592","1,823,657",95.6,0.1,[190]
Kuwait,"2,916,467","2,175,684",74.6,0.2,[191]
Kyrgyzstan,"6,500,000","5,200,000-5,850,000",85,0.3,[192][193]
Laos,"7,234,171","1,000",0.1,0.1,[194][195]
Latvia,"1,923,559","2,000",0.15,0.1,[196][197]
Lebanon,"6,100,075","3,519,743",57.7,0.2,[198]
Lesotho,"1,962,461","3,000",0.1,0.1,[199]
Liberia,"4,809,768","961,953",20,0.1,[200][201]
Libya,"6,754,507","6,551,871",97,0.4,[202][203]
Liechtenstein,"38,000","2,050",5.4,0.1,[204]
Lithuania,"2,793,284","3,000",0.1,0.1,[205][206]
Luxembourg,"640,000","15,000",2.3,0.1,[207][208]
Macau,"606,340","1,000",0.1,0.1,[209][210]
Madagascar,"25,683,610","2,568,361",10,0.1,[211][212]
Malawi,"19,842,560","3,968,512",20,0.1,[213][214]
Malaysia,"32,730,000","20,063,500",61.3,1.1,[215][216]
Maldives,"374,775","374,775",100,0.1,[217]
Mali,"18,429,893","17,508,398",95,0.8,[218][92]
Malta,"449,043","11,675",2.6,0.1,[219][220]
Marshall Islands,"75,684","1,000",0.1,0.1,[221]
Martinique,"385,551","1,000",0.2,0.1,
Mauritania,"3,845,430","3,840,430",99.9,0.2,[222]
Mauritius,"1,364,283","236,020",17.3,0.1,[223]
Mayotte,"256,518","253,439",97,0.1,[224]
Mexico,"127,000,000","5,500",0.01,0.01,[225][226]
Moldova,"3,437,720","15,000",0.4,0.1,[227][228]
Monaco,"30,727","1,000",0.8,0.1,[229][230]
Mongolia,"3,103,428","150,000",5,0.1,[231][232]
Montenegro,"614,249","122,849",19.1,0.1,[233]
Montserrat,"5,315","1,000",0.1,0.1,[234]
Morocco,"38,314,130","37,930,989",99,2.1,[235]
Mozambique,"27,233,789","3,830,063",17.9,0.3,[236][237]
Namibia,"2,413,643","9,654",0.4,0.1,
Nauru,"10,084","1,000",0.1,0.1,
Nepal,"29,218,867","1,292,909",4.2,0.1,[238]
Netherlands,"17,400,000","887,000",5.1,0.1,[239]
Netherlands Antilles,"304,759","1,000",0.2,0.1,
New Caledonia,"278,500","7,000",2.8,0.1,
New Zealand,"4,903,800","41,000",0.9,0.1,
Nicaragua,"6,284,757","1,000",0.1,0.1,
Niger,"21,466,863","21,101,926",98.3,1,[240]
Nigeria,"200,000,000","95,000,000–103,000,000",53.5,5.3,[36][241]
Niue,"1,611","1,000",0.1,0.1,
North Korea,"25,610,672","3,000",0.1,0.1,
North Macedonia,"2,118,945","705,608",33.3,0.1,[242]
Northern Mariana Islands,"56,200","1,000",0.7,0.1,
Norway,"5,328,212","175,507",3.2,0.1,[243]
Oman,"4,633,752","2,427,000",86,0.2,[244]
Pakistan,"220,000,000","212,300,000",96.5,11.1,[245][246]
Palau,"17,900","1,000",0.1,0.1,
Palestine,"4,780,978","4,298,000",97.5,0.3,
Panama,"4,158,783","25,000",0.7,0.1,
Papua New Guinea,"8,558,800","2,000",0.1,0.1,
Paraguay,"7,052,983","1,000",0.1,0.1,
Peru,"31,237,385","1,000",0.1,0.1,
Philippines,"109,000,000","5,450,000–12,000,000",8,0.3 - 0.6,[247][248]
Poland,"38,430,000","6,796",0.02,0.1,[249]
Portugal,"10,291,027","65,000",0.4,0.1,
Puerto Rico,"3,337,177","1,000",0.1,0.1,
Qatar,"2,450,285","1,566,786",77.5,0.1,[250]
Congo,"5,399,895","107,997",2,0.1,[251]
Réunion,"865,826","36,364",4.2,0.1,[252]
Romania,"19,524,000","73,000–200,000",0.65,0.1,[253]
Russia,"144,350,000-146,750,000","14,000,000-22,000,000",12.5,1.7 [A],[254][255]
Rwanda,"12,001,136","576,054",4.8,0.1,[256]
Saint Helena,"4,534","1,000",0.1,0.1,
Saint Kitts and Nevis,"46,204","1,000",0.3,0.1,
Saint Lucia,"178,844","1,000",0.1,0.1,
Saint Pierre and Miquelon,"6,286","1,000",0.2,0.1,
Saint Vincent and the Grenadines,"109,557","2,000",1.7,0.1,
Samoa,"199,052","1,000",0.1,0.1,
San Marino,"33,344","1,000",0.1,0.1,
São Tomé and Príncipe,"199,910","5,931",3,0.1,[257]
Saudi Arabia,"34,220,000","33,535,000",98.2,1.8,
Senegal,"15,726,037","15,112,721",96.1,0.8,[258]
Serbia,"7,001,444","221,460",3.1,0.1,[259]
Seychelles,"94,205","1,036",1.1,0.1,[260]
Sierra Leone,"7,719,729","6,067,706",78.6,0.3,[261]
Singapore,"5,866,139","915,118",15.6,0.1,[262][263]
Slovakia,"5,443,120","10,866",0.15,0.1,[65]
Slovenia,"2,066,880","73,568",3.6,0.1,[65]
Solomon Islands,"667,044","1,000",0.1,0.1,
Somalia,"11,000,000","10,978,000",99.8,0.6,[264]
South Africa,"57,725,600","1,050,000",1.9,0.1,[265][266]
South Korea,"51,635,256","75,000",0.1,0.1,[45]
South Sudan,"12,323,419","2,464,683",20,0.1,[267]
Spain,"46,659,302","1,180,000",2.6,0.1,[65]
Sri Lanka,"21,700,000","2,105,000",9.7,0.1,[268]
Sudan,"40,825,770","39,585,777",97,1.9,[269]
Suriname,"600,000","85,800",14.3,0.1,[270]
Sweden,"10,182,291","800,000",8.1,0.1,[36][65]
Switzerland,"8,492,956","440,000",5.2,0.1,[271]
Syria,"18,000,000","16,000,000",87,1,[272][273]
Taiwan,"23,576,705","60,000",0.3,0.1,[274][275]
Tajikistan,"9,540,000","9,253,000",97.9,0.4,[276][277][278]
Tanzania,"54,199,163","19,426,814",35.2,0.8,[279]
Thailand,"70,000,000","3,640,000",5.4,0.2,[280][281]
East Timor,"1,261,407","1,000",0.1,0.1,
Togo,"7,352,000","1,593,011",20,0.1,[282]
Tokelau,"1,499","1,000",0.1,0.1,
Tonga,"100,651","1,000",0.1,0.1,
Trinidad and Tobago,"1,356,633","78,000",5.8,0.1,
Tunisia,"11,446,300","11,190,000",99.8,0.6,
Turkey,"83,155,000","74,423,725",89.5,4.6,[283][284]
Turkmenistan,"6,031,187","5,610,000",93.7,0.3,
Turks and Caicos Islands,"37,910","1,000",0.1,0.1,
Tuvalu,"10,640","1,000",0.1,0.1,
Uganda,"38,823,100","5,435,234",14,0.3,[285]
Ukraine,"42,263,873","390,000–1,000,000",1.7,0.1,[286][287]
United Arab Emirates,"9,541,615","7,251,627",76,0.2,[288][289]
United Kingdom,"66,040,229","4,130,000",6.3,0.2,[65]
United States,"327,827,000","3,450,000",1.1,0.2,[290]
U.S. Virgin Islands,"104,914","1,000",0.1,0.1,
Uruguay,"3,505,985","1,000",0.1,0.1,
Uzbekistan,"34,036,800","29,920,000",88.7,1.7,[291]
Vanuatu,"304,500","1,000",0.1,0.1,
Vatican City,800,0,0,0,
Venezuela,"31,304,016","125,216",0.4,0.1,[292]
Vietnam,"96,160,163","96,160",0.1,0.1,[293]
Wallis and Futuna,"15,714","1,000",0.1,0.1,[294]
Western Sahara,"603,253","599,633",99.4,0.1,[295][296]
Yemen,"28,036,829","27,784,498",99.2,1.5,[297][298]
Zambia,"16,887,720","168,877",1,0.1,[92]
Zimbabwe,"14,000,000","100,000",0.7,0.1,[299]
