Country,Age (reduced)[a],Age (full)[b],Ref,Notes
Afghanistan,7,12,[15],"Minimum age of criminal responsibility is 12. Children aged 7–12 can be subject to warnings, supervision by social services, or confinement to a rehabilitation centre."
Albania,14,16/18,[16],Article 1 of the Code distinguishes between offences and contraventions. Article 12 mandates that the latter (which are less serious) have a higher age limit of 16.
Algeria,13,18,[17],
Andorra,12,18/21,[18],
Angola,14,18,[19],"Minimum and maximum sentences are reduced by two thirds between 14 and 16, and half between 16 and 18. The needs of rehabilitation and social reintegration are also to be taken into account for minors."
Antigua and Barbuda,8,16,[20],"According to Articles 1 and 3 of the Juvenile Act, Courts must have regard to the welfare of those under 16."
Argentina,16,18,[21][22],
Armenia,14,,[23],
Australia,10,,[24],Age of criminal responsibility in Australia. Review under way since 2019.[25]Rebuttable presumption of incapacity of committing crime: under 14.[24][26]
Austria,14,18/21,[27],
Azerbaijan,14,,[28],
Bangladesh,7,9,[29],
Belarus,14,16,[30],"16 is the standard age of criminal liability in Belarus. Minors between 14 and 16 years old are responsible only for certain crimes, according to article 27 of the Belarusian Criminal Code."
Belgium,12,,[31],
Bhutan,10,,[29],
Bolivia,14,,[32][33],Lowered in July 2014 from 16 to 14.
Bosnia and Herzegovina,14,,,
Brazil,12,,[34][35][36][37],"Juvenile judiciary system for offenders aged between 12 and 18, can be sentenced to a maximum of 3 years of imprisonment; separate juvenile jails."
Bulgaria,14,,[38],The maximum sentence that can be imposed on juvenile offenders can be no more than 12 years of imprisonment if the offenders are between 16 and 18 and no more than 10 years if they are between 14 and 16. Juvenile offenders serve their sentences in separate prisons up to the age of 18.
Burundi,15,,,
Cambodia,14,,[29],
Canada,12,18,[39],
Cape Verde,16,,,
Chile,14,16,[40][41],
China,12,16,[29][42],"Since 1 March 2021 children between 12 and 14 can be held criminally responsible for intentional homicide or injury leading to death or severe disability committed with extreme cruelty subject to approval by the Supreme People’s Procuratorate. Notes 14 is the absolute minimum for acts that constitute the following crimes: homicide, wounding resulting in death, rape, robbery, arson, explosion, planting of toxic substances, and trafficking in dangerous drugs. The minimum age for other crimes are 16. In Hong Kong, the minimum age is 10[43] and in Macau, 16."
Colombia,14,18,[36],
Costa Rica,12,,[44],"Even though legal procedures and punishment are different for offenders who are under 18, all offenders who are 12 or older may be sentenced to as much as 15 years of incarceration."
Cote d'Ivoire,10,,,
Croatia,14,18/21,[45],14 for all crimes under the general provisions of the Criminal Code; special provisions may apply for some crimes up to the age 21.
Cuba,16,18/20,[46],
Cyprus,14,,,
Czech Republic,15,18,[47],
Denmark (including Faroe Islands),15,18,[31],
DR Congo,14,16,[49],
Ecuador,12,18,[50],
El Salvador,12,18,,
Egypt,12,,[51],
Equatorial Guinea,16,,,
Estonia,14,18/21,[31],
Ethiopia,9,,[51],
Fiji,10,,,
Finland,15,,[52],
France,13,18,[31],
Gambia,12,,,
Georgia,14,,[53],Section 33 of Criminal code of Georgia defines that minors between 14 and 17 can be charged with criminal responsibility by juvenile justice.
Germany,14,,[54],Minors between 14 and 17 are sentenced by juvenile justice. A young adult between 18 and 21 years may still be sentenced by juvenile justice if considered mentally immature.
Greece,15,18/21,,
Guinea,10,,,
Guinea Bissau,16,,,
Hong Kong,10,,[43],
Hungary,12,14,[55],"12 only for premeditated homicide, voluntary manslaughter and bodily harm leading to death or resulting in life-threatening injuries; 14 for other crimes.[55]"
Iceland,15,18,[31],
India,7,12,[29],"7 only for heinous crimes, 12 for others. Offences by minors can be sentenced for a maximum of 7 years in juvenile hall, except for heinous crimes like murder and rape if age between 16 and 18."
Indonesia,8,,[29],
Iraq,9,,[29],
Iran,12,,[56][57],
Ireland,10,12,[58],"Exception for children aged 10 or 11, who can be charged with murder, manslaughter, rape or aggravated sexual assault."
Israel,12,,[29],
Italy,14,,[31],Juvenile judiciary system for offenders aged between 14 and 18; separate juvenile halls.
Japan,14,20,[59],
Kazakhstan,14,16,[60],
Kenya,8,,[51],
Kosovo,14,18/21,[61],
Kuwait,7,15,[29],
Kyrgyzstan,14,18,[62],
Laos,15,,,
Liechtenstein,14,18/21,,
Latvia,14,18,,
Libya,14,18,[63],
Lithuania,14,16,,
Luxembourg,18,,[64],
Malaysia,10,,[65][66],"Notes Malaysia has a dual system of secular and Islamic law, which has resulted in a number of different minimum ages of responsibility depending on which branch of the law is applicable.   Under the Penal Code, a person can be held criminally responsible from the age of 10. [Penal Code, Article 82. See also Child Act Article 2] Under the Syariah Criminal Offences (Federal Territories) Act 1997, Muslim children can be held criminally responsible from the onset of puberty. [Syariah Criminal Offences (Federal Territories) Act 1997, Articles 2 and 51] Offences under the Internal Security Act can be prosecuted regardless of age. [Essential (Security Cases) Regulations 1975, Article 3] (The act was repealed in 2012 and replaced with Security Offences (Special Measures) Act 2012 )"
Mauritania,7,,,
Mexico,12,14,[67],Incarceration starting at age 14. Other measures applied for ages 12–13.
Moldova,14,16/21,,
Mongolia,14,16,[68],Children between 14 and 16 years old responsible only for certain crimes.
Montenegro,14,,,
Morocco,12,,[51],
Mozambique,16,,,
Myanmar,7,12,[29],
Nepal,10,,[29],
Netherlands,12,,[31],
New Zealand,10,14,[69][70][71],Rebuttable presumption of incapacity until age 14. Children aged 10 and 11 can only be convicted of murder or manslaughter; children aged 12 and 13 can only be convicted of crimes with a maximum imprisonment of 14 years but this may be increased circumstantially. See Youth justice in New Zealand.
Nicaragua,13,,,
Nigeria,7,,[51],
North Korea,14,,[29],
North Macedonia,14,,,
Oman,9,,[29],
Norway,15,18,[72],
Pakistan,7,,[29],
Palau,10,,,
Papua New Guinea,7,,,
Panama,12,,,
