Rank,Country/Region,External debtUS dollars,Date,Per capitaUS dollars,% of GDP
1,United States,2.29×1013,2019 est. [1],"60,526",102
2,United Kingdom,9.019×1012,31 December 2017[2],"127,000",345
3,France,7.3239×1012,December 2020[3],"87,200",230
4,Germany,5.7358032×1012,31 March 2020[4],"69,000",165
5,Japan,4.7653479×1012,31 March 2020[5],"38,000",96
6,Netherlands,4.560190614×1012,1 May 2020[6],"265,400",453
7,Italy,2.51069×1012,31 December 2017[7],"42,300",141
8,Spain,2.259127×1012,31 December 2017[8],"48,700",170
9,China,2.0946×1012,1 March 2020,"1,326",29
10,Canada,1.9319×1012,31 December 2017[9],"52,300",143
11,Switzerland,1.820695×1012,31 December 2017[10],"213,100",285
12,Australia,1.8335321×1012,31 September 2020[11],"71,906",130
13,India,5.713×1011,June 2021[12],571.3,20.2
14,Singapore,1.6692×1012,30 June 2021[13],"231,000",471
15,Belgium,1.278465×1012,30 June 2017[14],"112,000",269
16,Sweden,9.939396629×1011,30 June 2017[15],"94,500",169
17,Austria,7.570553×1011,31 December 2020[16],"84,061",165
18,Norway,6.044238×1011,30 June 2017[17],"117,000",181
19,Brazil,5.56418×1011,30 September 2017[18],"3,200",38
20,Russia,4.892×1011,1 September  2021[19],"3,700",32
21,Denmark,4.91617×1011,30 June 2017[20],"85,700",158
22,Finland,4.83369×1011,30 June 2017[21],"87,500",223
23,Greece,4.4158×1011,31 December 2017[22],"42,800",298
24,Turkey,4.534×1011,30 September 2019 [23],"2,983",63
25,Portugal,4.47022×1011,30 June 2017[24],"43,300",203
26,Mexico,4.37367×1011,31 December 2017[25],"3,300",43
27,Indonesia,4.15082×1011,30 June 2021[26],"1,530",37
28,South Korea,4.07341×1011,30 June 2017[27],"7,500",33
29,Poland,3.63658×1011,30 June 2017[28],"9,500",60
30,Malaysia,2.278445×1011,31 March 2018[29],"6,800",68
31,Ireland,2.276×1011,31 December 2017[30],"49,000",701
32,United Arab Emirates,2.204×1011,31 December 2016 est.[31],"23,500",59
34,Saudi Arabia,2.009×1011,31 December 2016 est.[32],"6,100",31
35,Argentina,2.72852×1011,31 September 2020[33],"6,037",72
36,Mauritius,1.9971×1011,30 June 2018[34],"148,000",2007
37,Taiwan,1.99051×1011,30 June 2018[35],"7,400",28
38,New Zealand,1.919437×1011,31 March 2020[36],"38,400",90
39,Chile,1.86697×1011,31 March 2019[37],"9,771",82
40,Puerto Rico (USA),1.674×1011,31 January 2015 est.,"47,800",164
41,Kazakhstan,1.65501×1011,31 March 2017[38],"9,100",91
42,Qatar,1.592×1011,31 December 2016 est.[39],"68,100",83
43,Thailand,1.4942955×1011,31 December 2017[40],"2,170",33
44,Hungary,1.48024×1011,30 June 2017[41],"15,000",160
45,South Africa,1.42833×1011,31 December 2016[42],"2,600",57
46,Czechia,1.37606×1011,31 December 2016[43],"13,000",76
47,Colombia,1.210972×1011,31 January 2017[44],"2,500",57
48,Cyprus,1.19672×1011,30 June 2017[45],"97,200",849
