,2018,2018,2018,2017,2017,2017,2016,2016,2016,2015,2015,2015,2014,2014,2014,2013,2013,2013,2010,2010,2010,2005,2005,2005,2000,2000,2000
Country,M,F,All,M,F,All,M,F,All,M,F,All,M,F,All,M,F,All,M,F,All,M,F,All,M,F,All
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru *,51.7,52.6,52.1,52.2,53.6,52.9,53.0,54.8,53.9,53.9,55.6,54.7,54.6,56.8,55.7,55.2,57.9,56.5,57.5,61.6,59.5,61.7,68.3,65.0,66.4,75.5,71.0
Kiribati *,68.6,35.5,52.0,69.1,36.4,52.8,69.6,37.4,53.5,70.4,37.9,54.2,71.2,39.2,55.2,71.9,40.0,56.0,73.7,42.5,58.1,77.8,48.0,62.9,81.7,54.1,67.9
Tuvalu *,66.0,31.4,48.7,66.9,31.7,49.3,67.8,32.1,50.0,69.2,32.4,50.8,70.1,32.8,51.4,71.4,33.2,52.3,74.4,34.4,54.4,79.9,36.6,58.2,84.6,39.1,61.8
Myanmar *,70.2,20.8,45.5,70.7,21.6,46.1,71.2,22.4,46.8,72.1,23.5,47.8,73.1,24.4,48.8,73.7,25.5,49.6,76.1,29.0,52.5,79.7,35.7,57.7,83.0,43.7,63.3
Chile *,49.2,40.3,44.7,49.2,40.7,45.0,49.8,41.1,45.5,50.1,41.6,45.9,50.5,42.0,46.2,51.0,42.5,46.8,52.5,44.1,48.3,54.6,46.8,50.7,57.1,49.7,53.4
Lebanon *,49.4,35.9,42.6,49.2,36.0,42.6,49.1,36.1,42.6,49.3,35.9,42.6,49.3,36.1,42.7,49.1,36.4,42.7,49.3,36.5,42.9,49.7,37.2,43.5,50.0,38.3,44.1
Serbia *,40.0,41.2,40.6,40.5,41.3,40.9,41.1,41.3,41.2,41.6,41.0,41.3,42.4,41.0,41.7,43.0,40.7,41.9,45.1,40.4,42.7,48.5,39.9,44.2,52.4,39.4,45.9
Greece *,45.3,32.8,39.1,46.0,33.3,39.6,46.5,33.8,40.2,47.1,34.0,40.6,47.8,34.5,41.2,48.6,35.1,41.8,50.5,36.4,43.4,54.4,39.1,46.7,58.6,41.8,50.2
Bangladesh *,60.6,17.7,39.1,60.5,18.5,39.5,60.8,19.3,40.1,61.3,20.2,40.7,61.3,21.0,41.1,61.6,21.8,41.7,62.4,24.7,43.5,63.8,30.6,47.2,65.3,37.8,51.5
Bulgaria *,42.5,35.3,38.9,43.5,35.4,39.5,44.5,35.6,40.1,45.3,35.7,40.5,46.2,36.0,41.1,46.7,36.2,41.4,49.4,36.8,43.1,54.5,37.7,46.1,59.9,39.2,49.6
Bosnia and Herzegovina *,46.3,30.2,38.3,46.9,30.5,38.7,47.5,30.7,39.1,48.0,31.1,39.6,48.3,31.1,39.7,49.1,31.5,40.3,50.7,32.1,41.4,54.0,33.4,43.7,57.7,35.0,46.3
East Timor *,65.8,10.7,38.2,67.1,10.9,39.0,68.7,11.1,39.9,70.2,11.5,40.8,71.8,11.8,41.8,73.1,12.1,42.6,78.0,13.1,45.6,85.7,15.2,50.4,91.0,17.7,54.4
Solomon Islands *,55.9,19.9,37.9,55.8,20.2,38.0,55.9,20.4,38.1,56.2,20.7,38.4,56.1,21.1,38.6,56.2,21.4,38.8,56.7,22.4,39.5,57.4,24.3,40.8,58.5,26.4,42.4
Indonesia *,70.5,5.3,37.9,70.5,5.6,38.1,70.3,6.0,38.1,70.0,6.4,38.2,69.7,6.8,38.3,69.3,7.3,38.3,68.7,8.9,38.8,67.7,12.3,40.0,66.7,17.0,41.8
Laos *,60.1,15.5,37.8,61.1,16.3,38.7,62.7,17.1,39.9,63.8,18.0,40.9,65.6,18.9,42.2,66.6,19.9,43.2,71.0,23.1,47.0,78.3,29.6,54.0,84.0,38.3,61.1
Latvia *,49.5,24.0,36.7,49.8,24.0,36.9,50.1,24.1,37.1,50.5,24.1,37.3,51.0,24.1,37.5,51.3,24.0,37.7,52.6,24.2,38.4,54.4,24.4,39.4,56.4,24.7,40.5
Cyprus *,50.1,23.3,36.7,50.9,23.2,37.0,51.3,22.9,37.1,52.1,23.0,37.5,52.5,22.7,37.6,53.2,22.7,38.0,55.2,22.4,38.8,59.3,21.9,40.6,63.3,21.6,42.5
Croatia *,37.9,35.3,36.6,38.2,34.7,36.5,38.4,34.3,36.3,38.7,33.9,36.3,38.9,33.2,36.1,38.9,32.9,35.9,39.6,31.6,35.6,40.8,29.7,35.2,42.0,27.8,34.9
France *,36.0,33.2,34.6,36.3,33.0,34.6,36.4,32.9,34.6,36.4,32.7,34.5,36.7,32.5,34.6,36.5,32.5,34.5,37.0,32.0,34.5,37.5,31.4,34.5,38.5,30.7,34.6
Andorra *,38.1,29.5,33.8,38.4,29.4,33.9,38.4,29.4,33.9,38.8,29.6,34.2,38.7,29.5,34.1,39.0,29.5,34.3,39.9,29.5,34.7,41.2,29.6,35.4,42.6,29.9,36.3
Slovakia *,38.6,26.0,32.3,38.7,25.7,32.2,39.0,25.2,32.1,39.2,24.9,32.0,39.5,24.6,32.1,39.8,24.2,32.0,40.5,23.3,31.9,42.0,21.9,32.0,43.6,20.6,32.1
Nepal *,48.6,15.3,31.9,49.6,16.5,33.1,50.8,17.8,34.3,52.2,19.2,35.7,53.4,20.7,37.0,54.6,22.2,38.4,58.9,27.9,43.4,66.3,40.5,53.4,73.9,54.5,64.2
Czech Republic *,35.6,27.3,31.5,35.9,27.5,31.7,36.2,27.6,31.9,36.4,27.7,32.1,36.7,27.6,32.2,36.9,27.8,32.4,37.8,27.9,32.9,39.1,28.3,33.7,40.7,28.9,34.8
South Africa *,46.8,16.0,31.4,46.5,16.6,31.6,46.9,17.2,32.0,46.7,17.7,32.2,46.7,18.2,32.5,46.8,18.9,32.8,46.9,20.9,33.9,47.0,24.6,35.8,47.3,28.9,38.1
Hungary *,34.8,26.4,30.6,35.2,26.8,31.0,35.6,27.2,31.4,36.3,27.5,31.9,36.9,27.9,32.4,37.5,28.3,32.9,39.0,29.5,34.2,42.2,31.8,37.0,45.8,34.3,40.0
Estonia *,36.9,24.1,30.5,37.8,24.2,31.0,38.6,24.4,31.5,39.6,24.5,32.1,40.1,24.7,32.4,41.1,24.8,32.9,44.1,25.3,34.7,49.3,26.1,37.7,55.3,26.8,41.1
Tonga *,48.4,12.1,30.2,48.4,12.2,30.3,48.4,12.3,30.4,48.8,12.4,30.6,48.8,12.6,30.7,48.9,12.7,30.8,49.5,13.1,31.3,50.5,13.9,32.2,51.8,14.8,33.3
Lesotho *,54.7,4.6,29.7,53.6,4.8,29.2,52.3,5.0,28.7,50.8,5.3,28.0,49.8,5.5,27.7,48.6,5.7,27.2,45.3,6.6,26.0,40.5,8.4,24.5,36.2,10.8,23.5
Georgia *,54.2,5.2,29.7,54.6,5.2,29.9,55.0,5.3,30.1,55.5,5.3,30.4,55.9,5.4,30.6,56.0,5.4,30.7,57.5,5.6,31.6,59.6,5.9,32.7,62.5,6.2,34.4
Turkey *,41.5,17.0,29.3,42.0,16.9,29.5,42.7,16.8,29.8,43.4,16.7,30.1,44.2,16.6,30.4,45.1,16.5,30.8,47.0,16.4,31.7,50.8,16.1,33.4,55.1,15.7,35.4
Albania *,50.5,7.9,29.2,50.6,8.0,29.3,51.1,8.2,29.7,51.4,8.3,29.9,51.7,8.5,30.1,52.0,8.6,30.3,53.2,9.1,31.1,55.3,10.0,32.7,57.4,11.1,34.2
Austria *,30.4,27.7,29.1,31.3,28.4,29.9,32.3,29.1,30.7,33.2,29.7,31.5,34.4,30.5,32.5,35.2,31.2,33.2,38.8,33.5,36.1,45.4,38.0,41.7,53.0,43.1,48.1
Western Samoa *,40.8,16.9,28.9,41.5,17.2,29.3,42.2,17.5,29.9,43.0,17.9,30.5,43.9,18.2,31.0,44.6,18.6,31.6,47.4,19.7,33.5,52.5,21.8,37.2,58.5,24.1,41.3
Madagascar *,46.9,11.0,28.9,47.3,11.6,29.4,47.8,12.3,30.0,48.4,13.0,30.7,48.7,13.7,31.2,49.3,14.6,32.0,50.6,17.4,34.0,53.7,23.3,38.5,56.4,31.6,44.0
Sweden *,28.2,29.3,28.8,29.1,30.6,29.9,30.2,31.5,30.8,31.1,32.9,32.0,31.8,33.9,32.9,32.9,35.2,34.1,36.0,39.1,37.6,41.9,47.3,44.6,48.8,56.6,52.7
Russia *,40.9,15.7,28.3,41.4,15.5,28.4,42.2,15.2,28.7,42.9,15.1,29.0,43.7,15.0,29.3,44.4,14.9,29.6,46.8,14.3,30.6,50.7,13.6,32.2,55.5,12.9,34.2
Germany *,29.9,26.0,28.0,30.4,26.3,28.4,30.8,26.4,28.6,31.2,26.7,28.9,31.5,26.8,29.1,31.9,27.1,29.5,33.1,27.5,30.3,35.2,28.4,31.8,37.5,29.7,33.6
Portugal *,33.3,22.4,27.9,33.4,22.0,27.7,33.6,21.3,27.5,33.6,20.9,27.3,33.6,20.5,27.1,33.8,20.1,26.9,34.1,18.7,26.4,34.8,16.8,25.8,35.6,15.0,25.3
Kyrgyzstan *,52.5,3.4,27.9,52.8,3.4,28.1,52.9,3.5,28.2,53.2,3.6,28.4,53.5,3.7,28.6,53.8,3.8,28.8,54.9,4.0,29.4,56.2,4.5,30.4,58.4,5.1,31.7
Spain *,29.1,26.7,27.9,29.6,26.8,28.2,30.6,27.1,28.8,31.3,27.2,29.3,32.0,27.2,29.6,32.9,27.3,30.1,35.4,27.8,31.6,40.3,28.6,34.4,45.6,29.4,37.5
Mongolia *,49.1,6.2,27.6,50.0,6.4,28.2,50.2,6.6,28.4,51.1,6.9,29.0,52.0,7.1,29.6,52.8,7.4,30.1,55.5,8.3,31.9,59.5,10.0,34.7,64.9,12.2,38.5
Lithuania *,35.3,19.0,27.1,36.1,19.0,27.6,37.0,19.1,28.0,37.7,19.2,28.5,38.6,19.3,29.0,39.3,19.5,29.4,41.7,19.9,30.8,46.1,20.6,33.4,51.2,21.4,36.3
Cuba *,39.7,14.5,27.1,40.5,15.1,27.8,41.3,15.8,28.6,42.3,16.5,29.4,43.5,17.3,30.4,44.5,18.2,31.4,47.7,21.0,34.4,53.7,26.7,40.2,60.9,34.2,47.5
India *,42.0,12.1,27.0,42.7,12.9,27.8,43.9,13.7,28.8,44.6,14.5,29.6,45.7,15.5,30.6,46.7,16.3,31.5,49.8,19.7,34.8,55.8,26.8,41.3,62.1,35.6,48.9
Mauritius *,48.3,5.4,26.9,48.6,5.8,27.2,49.1,6.0,27.6,49.6,6.3,28.0,49.9,6.6,28.2,50.5,7.0,28.7,52.2,8.0,30.1,55.1,10.3,32.7,58.5,13.2,35.9
Fiji *,42.3,11.1,26.7,42.5,11.2,26.9,42.9,11.4,27.1,43.4,11.5,27.4,43.7,11.7,27.7,44.2,12.0,28.1,45.4,12.5,29.0,47.5,13.7,30.6,50.4,15.0,32.7
Armenia *,51.8,1.6,26.7,52.9,1.6,27.3,53.5,1.6,27.5,54.1,1.7,27.9,54.8,1.7,28.3,55.9,1.8,28.9,58.2,1.9,30.0,62.4,2.2,32.3,66.1,2.6,34.3
Cook Islands,31.3,21.8,26.6,32.2,22.4,27.3,32.8,23.1,28.0,33.7,23.9,28.8,34.3,24.6,29.5,35.1,25.6,30.3,37.6,27.9,32.7,42.6,32.6,37.6,48.6,38.7,43.6
Belarus *,42.8,10.4,26.6,43.6,10.5,27.0,44.4,10.6,27.5,45.3,10.7,28.0,46.5,10.8,28.7,47.4,10.9,29.1,50.7,11.2,31.0,56.2,11.8,34.0,62.1,12.4,37.3
Tunisia *,49.1,2.9,26.0,50.4,3.0,26.7,51.1,3.1,27.1,52.5,3.2,27.9,53.9,3.4,28.6,54.9,3.5,29.2,58.5,4.0,31.3,65.7,4.9,35.3,73.2,6.2,39.7
Poland *,30.3,21.6,26.0,31.2,22.2,26.7,32.0,22.8,27.4,32.8,23.4,28.1,33.2,24.0,28.6,34.0,24.7,29.3,36.5,26.7,31.6,41.1,30.4,35.8,46.5,35.1,40.8
Ukraine *,41.0,9.9,25.5,41.8,10.2,26.0,42.9,10.4,26.6,43.8,10.7,27.3,45.1,11.0,28.0,46.1,11.2,28.7,49.3,12.1,30.7,55.3,13.5,34.4,62.2,15.3,38.8
