Country,Men,Women,Average,Age Gap,Age Ratio,Year,Source
Algeria,33.5,27.8,30.7,5.7,1.21,2006,[2]
Angola,24.7,21.4,23.1,3.3,1.15,2001,[3]
Benin,23.8,18.7,21.3,5.1,1.27,2006,[3]
Botswana,30.9,26.4,28.7,4.5,1.17,2001,[4]
Burkina Faso,24.3,17.9,21.1,6.4,1.36,2010,[3]
Burundi,23.6,20.3,22,3.3,1.16,2010,[3]
Cape Verde,26.2,21.5,23.9,4.7,1.22,2010,[3]
Cameroon,25.8,19.0,22.4,6.8,1.36,2011,[3]
Central African Republic,23.3,17.4,20.4,5.9,1.34,1994-1995,[3]
Chad,22.4,16.0,19.2,6.4,1.4,2004,[3]
Comoros,25.6,20.4,23,5.2,1.25,1996,[3]
Congo,25.1,21.0,23.1,4.1,1.2,2009,[3]
Ivory Coast,26.7,19.5,23.1,7.2,1.37,2005,[3]
DR Congo,24.2,19.0,21.6,5.2,1.27,2007,[3]
Djibouti,30.8,26.9,28.9,3.9,1.14,2002,[4]
Egypt,31.0,25.0,28,6,1.24,2019,[5]
Equatorial Guinea,26.1,20.5,23.3,5.6,1.27,2011,[4]
Eritrea,24.7,17.4,21.1,7.3,1.42,1995,[3]
Eswatini,30.5,26.5,28.5,4,1.15,2007,[4]
Ethiopia,23.9,17.4,20.7,6.5,1.37,2011,[3]
Gabon,24.7,20.4,22.6,4.3,1.21,2000,[3]
Gambia,29.7,21.5,25.6,8.2,1.38,2013,[4]
Ghana,25.7,21.7,23.7,4,1.18,2008,[3]
Guinea,24.6,16.5,20.6,8.1,1.49,2005,[3]
Guinea-Bissau,28.1,20.9,24.5,7.2,1.34,2000,[4]
Kenya,24.8,20.2,22.5,4.6,1.23,2008-2009,[3]
Lesotho,25.5,20.9,23.2,4.6,1.22,2009,[3]
Liberia,23.4,18.9,21.2,4.5,1.24,2007,[3]
Libya,32.0,29.2,30.6,2.8,1.1,1995,[6]
Madagascar,22.3,18.4,20.4,3.9,1.21,2008,[3]
Malawi,22.3,17.9,20.1,4.4,1.25,2010,[3]
Mali,24.1,16.7,20.4,7.4,1.44,2006,[3]
Mauritania,27.1,19.0,23.1,8.1,1.43,2000-2001,[3]
Mauritius,29.8,25.4,27.6,4.4,1.17,2000,[3]
Morocco,31.9,25.5,28.7,6.4,1.25,2018,[7]
Mozambique,21.7,17.5,19.6,4.2,1.24,2009,[3]
Namibia,31.7,29.2,30.5,2.5,1.09,2006-2007,[3]
Niger,23.1,15.7,19.4,7.4,1.47,2006,[3]
Nigeria,26.9,19.3,23.1,7.6,1.39,2008,[3]
Rwanda,24.8,20.6,22.7,4.2,1.2,2010,[3]
São Tomé and Príncipe,23.8,18.8,21.3,5,1.27,2008-2009,[3]
Senegal,28.9,19.9,24.4,9,1.45,2010-2011,[3]
Seychelles,27.3,25.2,26.3,2.1,1.08,2002,[4]
Sierra Leone,24.4,17.1,20.8,7.3,1.43,2008,[3]
Somalia,26.5,20.6,23.6,5.9,1.29,1982,[4]
South Africa,32.0,29.0,30.5,3,1.1,2008,[3]
South Sudan,27.1,20.7,23.9,6.4,1.31,2008,
Sudan,29.1,22.7,25.9,6.4,1.28,1993,[6]
Tanzania,23.8,18.9,21.4,4.9,1.26,2010,[3]
Togo,27.6,22.3,25,5.3,1.24,2014,[4]
Tunisia,32.6,28.7,30.7,3.9,1.14,2004,[4]
Uganda,22.4,18.2,20.3,4.2,1.23,2011,[3]
Zambia,23.7,18.7,21.2,5,1.27,2007,[3]
Zimbabwe,24.6,19.9,22.3,4.7,1.24,2010-2011,[3]
Antigua and Barbuda,29.3,25.7,27.5,3.6,1.14,2001,[4]
Argentina,34.1,33.2,33.7,0.9,1.03,2015,[8]
Bahamas,30.6,27.9,29.3,2.7,1.1,2010,[4]
Barbados,34.3,31.8,33.1,2.5,1.08,1990,[4]
Belize,30.1,28.6,29.4,1.5,1.05,2010,[4]
Bolivia,26.6,24.1,25.4,2.5,1.1,2012,[4]
Brazil,33.0,30,31.5,3,1.1,2014,[9]
Canada,31.0,29.6,30.3,1.4,1.05,2008,[10]
Chile,35.3,32.6,34,2.7,1.08,2013,[11]
Colombia,26.8,22.3,24.6,4.5,1.2,2010,[4]
Costa Rica,28.8,25.7,27.3,3.1,1.12,2014,[4]
Cuba,25.4,21.3,23.4,4.1,1.19,2012,[4]
Dominica,36.5,32.5,34.5,4,1.12,2001,[4]
Dominican Republic,24.8,21.0,22.9,3.8,1.18,2013,[4]
Ecuador,25.0,21.8,23.4,3.2,1.15,2010,[4]
El Salvador,25.5,22.5,24,3,1.13,2007,[4]
Grenada,34.4,31.0,32.7,3.4,1.11,1991,[4]
Guatemala,23.6,21.3,22.5,2.3,1.11,1994,[4]
Guyana,25.4,21.5,23.5,3.9,1.18,2009,[4]
Haiti,28.3,23.7,26,4.6,1.19,2012,[4]
Honduras,24.1,21.2,22.7,2.9,1.14,2012,[4]
Jamaica,34.8,33.2,34,1.6,1.05,2021,[4]
Mexico,29.0,26.0,27.5,3,1.12,2011,[12]
Nicaragua,24.4,20.6,22.5,3.8,1.18,2005,[4]
Panama,25.3,21.6,23.5,3.7,1.17,2010,[4]
Paraguay,26.8,22.7,24.8,4.1,1.18,2002,[4]
Peru,27.5,23.5,25.5,4,1.17,2012,[4]
Saint Kitts and Nevis,32.1,31.3,31.7,0.8,1.03,1980,[4]
Saint Lucia,35.1,33.7,34.4,1.4,1.04,1991,[4]
Saint Vincent and the Grenadines,27.8,21.2,24.5,6.6,1.31,2002,[4]
Suriname,32.8,29.3,31.1,3.5,1.12,2012,[4]
Trinidad and Tobago,31.8,29.2,30.5,2.6,1.09,2011,[4]
United States,29.8,28.0,28.9,1.8,1.06,2019,[13]
Uruguay,26.5,24.0,25.3,2.5,1.1,2011,[4]
Venezuela,26.0,22.7,24.4,3.3,1.15,2001,[4]
Afghanistan,23.5,15.0,19.3,8.5,1.57,2008,[4]
Bahrain,30.0,26.3,28.2,3.7,1.14,2001,[4]
Bangladesh,26.5,25,25.8,1.5,1.06,2019,[3]
Bhutan,25.4,22.8,24.1,2.6,1.11,2007,[4]
Brunei,27.3,25.1,26.2,2.2,1.09,1991,[4]
Cambodia,23.4,21.0,22.2,2.4,1.11,2010,[3]
China,27.1,24.9,26,2.2,1.09,2017,[14]
Hong Kong,31.2,28.9,30.1,2.3,1.08,2011,[15]
India,23.0,22.2,22.6,0.8,1.04,2011,[16]
Indonesia,23,19,21,4,1.21,2010,[17]
