Rank,Country,Number of published articles (2018),Papers per capita in ppm (2018)
1,China,"528,263",370.023
2,United States,"422,808",1292.610
3,India,"135,788",100.387
4,Germany,"104,396",1255.901
5,Japan,"98,793",776.661
6,United Kingdom,"97,681",1454.849
7,Russia,"81,579",559.780
8,Italy,"71,240",1175.048
9,South Korea,"66,376",1297.123
10,France,"66,352",1020.949
11,Brazil,"60,148",287.145
12,Canada,"59,968",1617.497
13,Spain,"54,537",1167.994
14,Australia,"53,610",2153.172
15,Iran,"48,306",590.537
16,Taiwan,"38,558[2]",1634.580
17,Poland,"35,663",940.440
18,Turkey,"33,536",407.286
19,Netherlands,"30,457",1785.333
20,Indonesia,"26,948",100.676
21,Malaysia,"23,661",750.475
22,Switzerland,"21,379",2507.621
23,Sweden,"20,421",2047.908
24,Mexico,"16,346",129.534
25,Belgium,"15,688",1366.291
26,Czech Republic,"15,577",1460.479
27,Portugal,"14,295",1393.792
28,Denmark,"13,979",2430.232
29,Egypt,"13,327",135.405
30,South Africa,"13,009",225.098
31,Pakistan,"12,904",60.802
32,Thailand,"12,514",181.722
33,Austria,"12,362",1390.334
34,Israel,"12,235",1459.760
35,Norway,"11,803",2211.144
36,Singapore,"11,459",1990.274
37,Greece,"10,907",1036.566
38,Saudi Arabia,"10,898",323.356
39,Finland,"10,599",1919.213
40,Ukraine,"10,380",234.597
41,Romania,"10,345",530.347
42,Argentina,"8,811",198.620
43,New Zealand,"7,889",1663.247
44,Colombia,"7,195",144.882
45,Ireland,"7,174",1488.786
46,Chile,"7,122",380.263
47,Hungary,"6,701",690.291
48,Iraq,"6,073",158.013
49,Nigeria,"5,602",28.600
50,Tunisia,"5,565",481.185
51,Slovakia,"5,322",975.974
52,Algeria,"5,231",123.874
53,Morocco,"5,057",140.359
54,Serbia,"4,523",652.980
55,Vietnam,"4,286",44.858
56,Croatia,"4,277",1029.014
57,Bulgaria,"3,311",469.538
58,Slovenia,"3,206",1542.951
59,United Arab Emirates,"3,145",326.551
60,Bangladesh,"3,135",19.427
61,Jordan,"2,627",263.614
62,Kazakhstan,"2,367",129.206
63,Lithuania,"2,267",809.278
64,Philippines,"2,237",20.975
65,Ecuador,"2,142",125.378
66,Ethiopia,"1,994",18.256
67,Lebanon,"1,776",258.914
68,Peru,"1,630",50.955
69,Qatar,"1,503",540.321
70,Latvia,"1,418",735.302
71,Estonia,"1,415",1069.604
72,Sri Lanka,"1,348",63.499
73,Ghana,"1,276",45.237
74,Kenya,"1,247",24.264
75,Cyprus,"1,245",1063.989
76,Belarus,"1,180",124.833
77,Kuwait,"1,004",242.670
78,Cuba,969,85.464
79,Cameroon,876,34.739
80,Luxembourg,869,1438.158
81,Oman,856,177.245
82,Uruguay,852,247.008
83,Nepal,792,28.189
84,Azerbaijan,761,76.486
85,Bosnia and Herzegovina,704,211.798
86,Iceland,681,2022.494
87,Uganda,673,15.750
88,Venezuela,639,22.121
89,Tanzania,603,10.708
90,Georgia,550,137.399
91,Armenia,521,176.506
92,Puerto Rico,515,169.430
93,Costa Rica,507,101.411
94,North Macedonia,493,236.683
95,Malta,422,960.733
96,Sudan,398,9.521
97,Senegal,388,24.473
98,Palestine,376,77.319
99,Zimbabwe,359,24.864
100,Uzbekistan,354,10.900
101,Bahrain,322,205.168
102,Brunei,294,685.374
103,Botswana,281,124.663
104,Kosovo,278,155.994
105,Syria,275,16.229
106,Burkina Faso,252,12.759
107,Montenegro,250,398.210
108,Ivory Coast,248,9.893
108,Malawi,231,12.732
110,Myanmar,231,4.301
111,Benin,228,19.852
112,Zambia,213,12.275
113,Trinidad and Tobago,211,151.816
114,Moldova,210,51.827
115,Albania,180,62.441
116,Panama,173,41.419
117,Rwanda,170,13.819
118,Jamaica,164,55.880
119,Libya,162,24.257
120,Namibia,156,63.718
121,Democratic Republic of the Congo,149,1.772
122,Cambodia,146,8.985
123,Mongolia,141,44.476
124,Fiji,140,158.464
125,Mozambique,139,4.713
125,Kyrgyzstan,137,21.732
127,Yemen,137,4.807
127,Madagascar,127,4.836
129,Mauritius,127,106.789
130,Afghanistan,112,3.013
131,Bolivia,103,9.072
132,Guatemala,100,5.798
133,Paraguay,98,14.088
134,Mali,90,4.718
134,Laos,87,12.320
136,North Korea,87,3.405
137,Togo,86,10.901
