Rank,Country,Average daily dietary energy consumption per capita (2006-08)[4],Average daily dietary energy consumption per capita (2006-08)[4]
Rank,Country,kilocalories,kilojoules
1,United States,"3,800","15,900"
2,Austria,"3,750","15,690"
3,Greece,"3,710","15,520"
4,Belgium,"3,690","15,440"
5,Luxembourg,"3,680","15,400"
6,Italy,"3,650","15,270"
7,Malta,"3,600","15,060"
8,Ireland,"3,590","15,020"
9,Portugal,"3,580","14,980"
10,Germany,"3,540","14,810"
11,Canada,"3,530","14,770"
12,France,"3,530","14,770"
13,Israel,"3,530","14,770"
14,Kazakhstan,"3,510","14,690"
15,Turkey,"3,500","14,640"
16,Romania,"3,490","14,600"
17,Hungary,"3,470","14,520"
18,Norway,"3,450","14,430"
19,Switzerland,"3,450","14,430"
20,United Kingdom,"3,450","14,430"
21,Lithuania,"3,430","14,350"
22,Cuba,"3,420","14,310"
23,Denmark,"3,410","14,270"
24,Poland,"3,410","14,270"
25,Tunisia,"3,330","13,930"
26,Russia,"3,320","13,890"
27,Ukraine,"3,290","13,770"
28,Czech Republic,"3,280","13,720"
29,Iceland,"3,260","13,640"
30,Mexico,"3,260","13,640"
31,Morocco,"3,260","13,640"
—,Netherlands Antilles,"3,260","13,640"
32,Spain,"3,260","13,640"
33,Australia,"3,220","13,470"
34,Finland,"3,220","13,470"
35,Slovenia,"3,220","13,470"
36,Cyprus,"3,190","13,350"
37,United Arab Emirates,"3,170","13,260"
38,Egypt,"3,160","13,220"
39,Belarus,"3,150","13,180"
40,Libya,"3,150","13,180"
—,New Caledonia,"3,150","13,180"
41,Estonia,"3,140","13,140"
42,Brazil,"3,120","13,050"
43,Saudi Arabia,"3,120","13,050"
44,Sweden,"3,110","13,010"
45,Algeria,"3,090","12,930"
46,Dominica,"3,090","12,930"
47,Lebanon,"3,090","12,930"
48,Bosnia and Herzegovina,"3,080","12,890"
49,Macedonia,"3,060","12,800"
50,Iran,"3,050","12,760"
51,South Korea,"3,040","12,720"
52,Syria,"3,040","12,720"
53,Argentina,"3,030","12,680"
54,Kuwait,"3,030","12,680"
55,Azerbaijan,"3,020","12,640"
56,Barbados,"3,020","12,640"
57,Fiji,"3,000","12,550"
58,Jordan,"3,000","12,550"
59,Netherlands,"3,000","12,550"
60,South Africa,"3,000","12,550"
61,China,"2,990","12,510"
62,Croatia,"2,990","12,510"
63,Latvia,"2,990","12,510"
64,Brunei,"2,980","12,470"
65,Chile,"2,960","12,380"
66,Vanuatu,"2,950","12,340"
67,Mauritius,"2,930","12,260"
68,Ghana,"2,900","12,130"
69,Slovakia,"2,900","12,130"
70,Albania,"2,890","12,090"
71,Malaysia,"2,890","12,090"
72,Samoa,"2,890","12,090"
—,French Polynesia,"2,880","12,050"
73,Saint Vincent and the Grenadines,"2,860","11,970"
74,Moldova,"2,850","11,920"
75,Jamaica,"2,840","11,880"
76,Uruguay,"2,840","11,880"
77,Costa Rica,"2,820","11,800"
78,Kiribati,"2,820","11,800"
79,Mauritania,"2,810","11,760"
80,New Zealand,"2,810","11,760"
81,Japan,"2,800","11,720"
82,Vietnam,"2,780","11,630"
83,Bulgaria,"2,760","11,550"
84,Guyana,"2,740","11,460"
85,Turkmenistan,"2,740","11,460"
86,Georgia,"2,730","11,420"
87,Bahamas,"2,710","11,340"
88,Belize,"2,710","11,340"
89,Gabon,"2,710","11,340"
90,Nigeria,"2,710","11,340"
91,Saint Lucia,"2,710","11,340"
92,Serbia,"2,700","11,300"
93,Montenegro,"2,700","11,300"
94,Trinidad and Tobago,"2,700","11,300"
95,Burkina Faso,"2,690","11,250"
96,Colombia,"2,690","11,250"
97,Kyrgyzstan,"2,660","11,130"
98,Paraguay,"2,660","11,130"
99,São Tomé and Príncipe,"2,660","11,130"
100,Bermuda,"2,650","11,090"
101,Venezuela,"2,650","11,090"
102,Honduras,"2,610","10,920"
103,Mali,"2,590","10,840"
104,El Salvador,"2,580","10,790"
105,Philippines,"2,580","10,790"
106,Congo,"2,570","10,750"
107,Uzbekistan,"2,560","10,710"
108,Guinea,"2,550","10,670"
109,Indonesia,"2,550","10,670"
110,Maldives,"2,550","10,670"
111,Thailand,"2,540","10,630"
112,Cape Verde,"2,530","10,590"
113,Benin,"2,510","10,500"
114,Côte d'Ivoire,"2,500","10,460"
115,Lesotho,"2,460","10,290"
116,Saint Kitts and Nevis,"2,460","10,290"
117,Suriname,"2,460","10,290"
118,Panama,"2,450","10,250"
119,Nicaragua,"2,420","10,130"
120,Peru,"2,410","10,080"
121,Grenada,"2,400","10,040"
122,Seychelles,"2,400","10,040"
123,Solomon Islands,"2,400","10,040"
124,Niger,"2,390","10,000"
125,Sri Lanka,"2,370","9,920"
126,India,"2,360","9,870"
127,Namibia,"2,360","9,870"
128,Nepal,"2,340","9,790"
129,Antigua and Barbuda,"2,330","9,750"
130,Gambia,"2,330","9,750"
131,Djibouti,"2,300","9,620"
132,Ecuador,"2,300","9,620"
133,Swaziland,"2,290","9,580"
134,Pakistan,"2,280","9,540"
135,Senegal,"2,280","9,540"
136,Sudan,"2,280","9,540"
137,Bangladesh,"2,270","9,500"
138,Dominican Republic,"2,270","9,500"
139,Guinea-Bissau,"2,270","9,500"
140,Armenia,"2,260","9,460"
141,Cameroon,"2,240","9,370"
142,Laos,"2,240","9,370"
143,Mongolia,"2,240","9,370"
144,Botswana,"2,230","9,330"
145,Uganda,"2,220","9,290"
146,Zimbabwe,"2,210","9,250"
147,Liberia,"2,200","9,200"
148,Tajikistan,"2,190","9,160"
149,Cambodia,"2,180","9,120"
150,Guatemala,"2,150","9,000"
151,Malawi,"2,150","9,000"
152,Togo,"2,150","9,000"
153,Madagascar,"2,130","8,910"
154,Sierra Leone,"2,120","8,870"
155,North Korea,"2,110","8,830"
156,Bolivia,"2,100","8,790"
157,Rwanda,"2,090","8,740"
158,Palestine,"2,080","8,700"
159,Mozambique,"2,070","8,660"
160,Yemen,"2,050","8,580"
161,Kenya,"2,030","8,490"
162,Timor-Leste,"2,020","8,450"
163,Tanzania,"2,020","8,450"
164,Chad,"2,010","8,410"
165,Angola,"1,960","8,200"
166,Central African Republic,"1,960","8,200"
167,Ethiopia,"1,950","8,160"
168,Zambia,"1,880","7,870"
169,Haiti,"1,850","7,740"
170,Comoros,"1,840","7,700"
171,Burundi,"1,680","7,030"
172,Eritrea,"1,590","6,650"
