COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate,Fertility Rate,Tabacco Consumption,Obesity Rate,Internet Users (in %),Median Age,Economic Freedom Score,Oil Production,Population Growth Rate,Life Expectancy,Meat Consumption per kg,Incarceration Rate (per 100 000),Literacy Rate,Age at First Marriage,Spending on Education (in %),Homeless Population (per 10 000),Milk Consumption,Num. of Scientific and Technical Journals Articles,Books Published,Kilocalories,Avg. Yearly Temperature (in Celsius)
Afghanistan,470.0,,0.2,6.7,,0.511,2.85,,0.97,0.0002,0.997,0.001,,60.3,7.0,866.0,0.07,,186.0,6.0,4.321,,5.5,0.109,19.5,51.5,,2.41,63.2,,87.0,20.3,15.0,4.1,,62.23,3.013,2795.0,,12.6
Albania,5303.0,45.25,7.5,2.3,,0.795,6.08,,0.5,0.17,0.588,0.001,,9.7,14.0,3277.0,0.66,0.332,697.0,3.7,1.597,34.2,21.7,0.73,34.3,66.5,7901.0,0.13,78.0,38.2,164.0,86.9,24.0,4.0,,303.72,62.441,390.0,2890.0,11.4
Algeria,3976.0,,0.9,1.4,,0.748,3.77,,0.95,0.0001,0.997,0.001,,23.3,13.0,2010.0,0.02,0.276,963.0,2.6,2.988,22.4,27.4,0.624,28.9,46.2,33205.0,1.67,77.1,18.4,153.0,19.5,27.8,4.3,,141.53,123.874,3955.0,3090.0,22.5
Angola,2671.0,,6.4,4.8,,0.581,3.66,,0.88,0.75,0.003,0.001,,74.7,14.0,764.0,0.41,0.513,165.0,12.6,5.442,,8.2,0.139,15.9,50.6,61417.0,3.28,63.1,25.0,93.0,27.0,21.4,3.5,,12.3,0.974,22.0,1960.0,21.55
Argentina,10041.0,51.51,9.8,5.3,,0.845,6.95,,0.65,0.77,0.009000000000000001,0.001,0.011000000000000001,9.3,16.0,8640.0,0.72,0.414,1990.0,8.1,2.247,46.2,28.3,0.757,32.4,52.2,11644.0,0.94,76.6,79.7,230.0,97.9,33.2,5.5,,195.08,198.62,28010.0,3030.0,14.8
Armenia,4623.0,,5.5,1.7,,0.776,5.35,,0.79,0.9790000000000001,0.001,0.001,6.300000000000001e-06,11.8,14.0,1698.0,1.02,0.344,1037.0,2.7,1.758,34.3,20.2,0.6920000000000001,36.6,67.7,,0.15,76.0,27.7,74.0,98.9,26.3,2.3,,209.03,176.506,396.0,2260.0,7.15
Australia,54763.0,77.88,10.6,0.9,2.1,0.944,8.96,48.0,0.32,0.521,0.026000000000000002,0.027000000000000003,0.0078000000000000005,3.6,10.0,28734.0,1.3,0.344,5005.0,11.3,1.657,27.6,29.0,0.85,37.5,80.9,14040.0,1.3,83.0,108.2,160.0,,30.5,5.3,49.1,234.49,2153.172,28234.0,3220.0,21.65
Austria,49701.0,117.31,11.6,1.0,,0.922,8.16,39.0,0.55,0.6,0.08,0.002,0.00063,3.5,14.0,,1.65,0.297,5879.0,10.4,1.46,48.1,20.1,0.8640000000000001,44.5,72.0,1742.0,0.24,81.6,94.1,95.0,,30.3,5.5,25.4,258.09,1390.334,8056.0,3750.0,6.35
Azerbaijan,4782.0,,0.8,2.2,,0.756,2.68,,0.39,0.031,0.9690000000000001,0.001,0.00048,20.4,14.0,1765.0,0.22,0.266,634.0,4.0,1.8,28.1,19.9,0.78,32.6,65.4,85710.0,0.98,71.4,15.9,208.0,98.4,23.7,2.5,725.0,152.07,76.486,542.0,3020.0,11.95
Bahrain,23504.0,58.53,1.9,0.5,,0.852,2.49,,0.94,0.15,0.737,0.025,,6.9,,,0.66,,1955.0,7.2,1.964,28.1,29.8,0.912,32.9,66.4,36000.0,4.26,75.8,70.7,234.0,42.3,26.3,2.3,,,205.168,40.0,,27.15
Bangladesh,1846.0,36.02,0.0,2.4,,0.632,5.99,,1.0,0.004,0.904,0.005,,30.8,7.0,214.0,0.12,0.324,110.0,3.9,2.011,51.5,3.6,0.698,27.9,55.6,25.0,1.04,74.3,3.1,48.0,39.4,25.0,2.0,307.0,21.91,19.427,,2270.0,25.0
Barbados,18149.0,105.71,9.6,9.8,,0.814,,,,0.74,0.015,0.001,,12.7,,6500.0,1.0,,1204.0,0.3,1.623,10.5,23.1,0.815,39.5,64.7,3521.0,0.24,76.0,88.7,296.0,98.5,31.8,4.7,,110.48,132.57,,3020.0,26.0
Belarus,6674.0,68.73,11.2,2.4,,0.823,2.59,,0.34,0.5539999999999999,0.006999999999999999,0.001,0.00057,3.2,14.0,0.0,0.66,0.252,1132.0,16.5,1.382,37.3,24.5,0.746,40.9,57.9,2637.0,-0.15,74.8,58.6,345.0,98.6,25.3,4.8,,133.73,124.833,8205.0,3150.0,6.15
Belgium,46198.0,107.12,12.1,1.7,,0.931,7.51,43.0,0.33,0.65,0.076,0.002,0.0018,3.4,12.0,21845.0,2.69,0.27399999999999997,5405.0,13.9,1.57,29.9,22.1,0.873,41.6,67.3,,0.58,81.4,86.1,95.0,,30.0,6.5,,236.19,1366.291,13913.0,3690.0,9.55
Belize,4884.0,49.44,6.7,37.8,,0.716,,,0.62,0.767,0.002,0.005,,12.3,,3861.0,0.75,0.5329999999999999,506.0,7.7,2.274,,24.1,0.46,23.9,55.4,5464.0,2.05,74.4,74.7,307.0,44.8,28.6,7.4,,80.3,23.494,,2710.0,25.3
Benin,1220.0,,3.0,1.1,,0.545,4.58,,0.93,0.428,0.27699999999999997,0.001,,90.3,,819.0,0.26,0.478,83.0,12.7,4.767,17.1,9.6,0.13699999999999998,17.0,55.3,,2.73,63.4,16.2,70.0,7.0,18.7,4.0,,8.4,19.852,84.0,2510.0,27.55
