COUNTRY,GDP,Internet Speed,Consumption of Pure Alcohol,Intentional Homicide Victims,Military Expenditures,Human Development Index,Democracy Index,Tertiary Education,Importance of Religion (in %),% of Christians,% of Muslims,% of Buddhists,% of Jews,Under-Five Mortality,Age of Criminal Responsability,Minimal Wage,External Debt (% of GDP),Gini (in %),Health Expenditure,Suicide Rate
Afghanistan,470.0,,0.2,6.7,,0.511,2.85,,97.0,0.02,99.7,0.1,,60.3,7.0,866.0,7.0,,186.0,6.0
Albania,5303.0,45.25,7.5,2.3,,0.795,6.08,,50.0,17.0,58.8,0.1,,9.7,14.0,3277.0,66.0,33.2,697.0,3.7
Algeria,3976.0,,0.9,1.4,,0.748,3.77,,95.0,0.01,99.7,0.1,,23.3,13.0,2010.0,2.0,27.6,963.0,2.6
American Samoa,,,,,,,,,,98.3,0.1,0.3,,,,,,,,
Andorra,40887.0,191.23,11.3,0.0,,0.868,,,,89.5,2.6,0.1,,3.0,12.0,14397.0,,,3607.0,
Angola,2671.0,,6.4,4.8,,0.581,3.66,,88.0,75.0,0.3,0.1,,74.7,14.0,764.0,41.0,51.3,165.0,12.6
Anguilla,25529.0,,,28.3,,,,,,90.5,0.6,,,,,,5.0,,,
Antigua and Barbuda,17113.0,,7.0,11.1,,0.778,,,,74.0,0.3,,,6.6,8.0,6317.0,34.0,,1406.0,0.3
Argentina,10041.0,51.51,9.8,5.3,,0.845,6.95,,65.0,77.0,0.9,0.1,1.1,9.3,16.0,8640.0,72.0,41.4,1990.0,8.1
Armenia,4623.0,,5.5,1.7,,0.776,5.35,,79.0,97.9,0.1,0.1,0.00063,11.8,14.0,1698.0,102.0,34.4,1037.0,2.7
Aruba,30975.0,,,1.9,,,,,,88.0,0.4,0.1,,,,,28.0,,,
Australia,54763.0,77.88,10.6,0.9,2.1,0.944,8.96,48.0,32.0,52.1,2.6,2.7,0.78,3.6,10.0,28734.0,130.0,34.4,5005.0,11.3
Austria,49701.0,117.31,11.6,1.0,,0.922,8.16,39.0,55.0,60.0,8.0,0.2,0.063,3.5,14.0,,165.0,29.7,5879.0,10.4
Azerbaijan,4782.0,,0.8,2.2,,0.756,2.68,,39.0,3.1,96.9,0.1,0.048,20.4,14.0,1765.0,22.0,26.6,634.0,4.0
Bahamas,34864.0,55.99,4.4,32.0,,0.814,,,,95.0,0.1,0.1,0.0019,12.6,,,194.0,,2005.0,3.4
Bahrain,23504.0,58.53,1.9,0.5,,0.852,2.49,,94.0,15.0,73.7,2.5,,6.9,,,66.0,,1955.0,7.2
Bangladesh,1846.0,36.02,0.0,2.4,,0.632,5.99,,100.0,0.4,90.4,0.5,,30.8,7.0,214.0,12.0,32.4,110.0,3.9
Barbados,18149.0,105.71,9.6,9.8,,0.814,,,,74.0,1.5,0.1,,12.7,,6500.0,100.0,,1204.0,0.3
Belarus,6674.0,68.73,11.2,2.4,,0.823,2.59,,34.0,55.4,0.7,0.1,0.057,3.2,14.0,0.0,66.0,25.2,1132.0,16.5
Belgium,46198.0,107.12,12.1,1.7,,0.931,7.51,43.0,33.0,65.0,7.6,0.2,0.18,3.4,12.0,21845.0,269.0,27.4,5405.0,13.9
Belize,4884.0,49.44,6.7,37.8,,0.716,,,62.0,76.7,0.2,0.5,,12.3,,3861.0,75.0,53.3,506.0,7.7
Benin,1220.0,,3.0,1.1,,0.545,4.58,,93.0,42.8,27.7,0.1,,90.3,,819.0,26.0,47.8,83.0,12.7
Bermuda,117768.0,,,8.1,,,,,,64.7,1.0,0.5,0.00063,,,,47.0,,,
Bhutan,3361.0,,0.6,1.2,,0.654,5.71,,,1.0,0.2,74.7,,28.5,10.0,639.0,108.0,37.4,322.0,5.1
Bolivia,3552.0,,4.8,6.2,,0.718,5.08,,89.0,89.0,0.1,0.1,0.0032,26.0,14.0,4071.0,33.0,42.2,496.0,6.8
Bonaire,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,6109.0,44.85,6.4,1.2,,0.78,4.84,,77.0,45.94,50.7,,0.0032,5.9,14.0,2789.0,23.0,33.0,1301.0,8.3
Botswana,7961.0,,8.4,15.2,,0.735,7.62,,77.0,71.6,0.4,0.1,0.00063,41.6,,692.0,8.0,53.3,1089.0,20.2
Brazil,8755.0,90.3,7.8,27.4,1.4,0.765,6.92,16.0,87.0,90.0,0.36,0.1,0.59,11.0,12.0,3625.0,38.0,53.9,1531.0,6.4
British Virgin Islands,48511.0,,,8.3,,,,,,94.0,1.2,,,,,,2.0,,,
Brunei,31086.0,,0.4,0.5,,0.838,,,,7.1,80.9,8.6,,11.4,,,0.0,,1953.0,2.5
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,
Bulgaria,9703.0,78.84,12.7,1.3,,0.816,6.71,,34.0,85.0,13.4,0.1,0.013,6.7,14.0,4596.0,63.0,40.4,1634.0,6.5
Burkina Faso,787.0,,8.2,1.3,,0.452,3.73,,88.0,22.0,63.2,0.1,,87.5,,710.0,26.0,35.3,112.0,14.4
Burundi,260.0,,7.5,6.1,,0.433,2.14,,98.0,75.0,10.0,,,56.5,15.0,,26.0,38.6,66.0,12.1
Cabo Verde,,,,,,,,,,,,,,,,,,,,
Cambodia,1644.0,,6.7,1.8,,0.594,3.1,,96.0,1.0,2.0,97.9,,26.6,14.0,,57.0,,261.0,5.5
Cameroon,1534.0,,8.9,1.4,,0.563,2.77,,96.0,70.7,30.0,0.1,,74.8,,743.0,24.0,46.6,134.0,15.9
Canada,46550.0,167.61,8.9,1.8,1.4,0.929,9.24,59.0,42.0,61.15,3.2,0.8,2.5,4.9,12.0,21477.0,143.0,33.8,5200.0,10.3
Cape Verde,3604.0,,5.7,6.8,,0.665,7.65,,,89.1,2.0,,,14.9,16.0,1584.0,99.0,47.2,400.0,15.2
Caribbean Netherlands,,,,,,,,,,,,,,,,,,,,
Cayman Islands,92692.0,,,8.2,,,,,,73.8,0.2,,,,,,7.0,,,
